,TCGA-62-8402-01A-11R-2326-07,TCGA-J2-8192-01A-11R-2241-07,TCGA-67-3772-01A-01R-0946-07,TCGA-38-4628-01A-01R-1206-07,TCGA-55-7816-01A-11R-2170-07,TCGA-78-7540-01A-11R-2066-07,TCGA-78-7143-01A-11R-2039-07,TCGA-62-A46Y-01A-11R-A24H-07,TCGA-55-8619-01A-11R-2403-07,TCGA-73-7499-01A-11R-2187-07,TCGA-62-8395-01A-11R-2326-07,TCGA-86-8668-01A-11R-2403-07,TCGA-50-6673-01A-11R-1949-07,TCGA-97-8547-01A-11R-2403-07,TCGA-49-4501-01A-01R-1206-07,TCGA-55-8513-01A-11R-2403-07,TCGA-86-8278-01A-11R-2287-07,TCGA-44-2665-01A-01R-0946-07,TCGA-97-8552-01A-11R-2403-07,TCGA-71-8520-01A-11R-2403-07,TCGA-55-8087-01A-11R-2241-07,TCGA-86-A4P7-01A-11R-A24X-07,TCGA-91-8497-01A-11R-2403-07,TCGA-91-8496-01A-11R-2403-07,TCGA-38-6178-01A-11R-1755-07,TCGA-49-4512-01A-21R-1858-07,TCGA-38-4630-01A-01R-1206-07,TCGA-97-A4M6-01A-11R-A24X-07,TCGA-62-8394-01A-11R-2326-07,TCGA-49-AAQV-01A-11R-A39D-07,TCGA-55-6986-01A-11R-1949-07,TCGA-86-7955-01A-11R-2187-07,TCGA-86-8076-01A-31R-2241-07,TCGA-35-3615-01A-01R-0946-07,TCGA-69-7760-01A-11R-2170-07,TCGA-86-8585-01A-11R-2403-07,TCGA-55-8505-01A-11R-2403-07,TCGA-55-8206-01A-11R-2241-07,TCGA-55-6980-01A-11R-1949-07,TCGA-93-A4JP-01A-11R-A24X-07,TCGA-55-7815-01A-11R-2170-07,TCGA-55-6978-01A-11R-1949-07,TCGA-50-5066-01A-01R-1628-07,TCGA-86-7701-01A-11R-2170-07,TCGA-86-8672-01A-21R-2403-07,TCGA-05-5429-01A-01R-1628-07,TCGA-95-8039-01A-11R-2241-07,TCGA-86-8279-01A-11R-2287-07,TCGA-86-7713-01A-11R-2066-07,TCGA-86-6562-01A-11R-1755-07
ENSG00000067646,0,0,1,0,3,0,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,1,0,1,0,0,808,1168,1436,274,374,335,2236,442,1031,531,1080,193,257,95,424,1035,531,1824,171
ENSG00000114374,1,0,1,0,3,1,2,2,0,1,1,1,0,0,1,1,0,1,4,0,2,1,0,2,0,3,1,1,2,1,0,1600,2161,3635,599,1471,541,6093,535,1917,935,1199,167,384,210,261,3598,797,5980,203
ENSG00000183878,1,1,0,0,2,0,0,4,2,1,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,645,1308,1393,391,604,233,4720,455,1231,541,815,210,297,92,464,1415,514,6839,175
ENSG00000198692,4,0,1,0,1,1,1,6,0,0,0,0,0,0,0,0,1,0,1,2,1,0,0,0,0,4,1,1,3,0,0,1361,1446,1737,578,829,334,1198,185,1000,781,1021,435,325,157,529,1946,790,907,207
ENSG00000129824,10,0,11,5,19,3,18,39,6,13,12,11,0,1,6,3,0,3,1,0,5,5,3,4,0,32,9,4,10,18,1,7937,28648,47604,6109,4238,2630,18424,6079,4821,4661,5720,3381,2241,1446,8325,22594,7285,15928,2021
ENSG00000067048,6,0,3,2,2,0,7,9,3,3,5,1,0,0,2,0,1,3,2,1,2,0,0,1,0,11,1,1,6,3,2,2273,3576,2868,1530,2315,992,9442,1164,3372,1427,2953,475,925,452,612,3830,2736,6936,836
ENSG00000012817,6,0,1,0,1,0,3,2,2,7,2,1,0,0,2,3,2,0,0,2,1,2,2,3,0,3,3,1,3,2,0,2763,3122,3318,599,4803,1022,4821,431,3155,1153,1848,290,859,682,568,3973,1819,4057,421
ENSG00000131002,2,0,0,0,4,0,1,7,0,0,1,3,0,0,0,0,0,0,1,0,1,1,0,3,0,8,1,5,1,2,2,1376,1858,3187,1115,1687,555,2925,203,1982,1341,1206,468,686,242,616,3382,865,2491,197
ENSG00000176728,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,181,239,490,109,227,55,232,12,118,63,67,15,11,8,110,497,212,208,13
ENSG00000099725,5,2,1,0,4,3,0,1,5,0,0,1,0,0,1,2,1,1,0,0,2,0,0,0,0,1,1,0,0,4,2,385,669,1190,153,539,205,1890,406,908,227,669,86,226,131,178,1093,487,1991,111
ENSG00000234854,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,61,0,1,0,1,0,0,2,2,0,0,523,0,0,0,2,2150,0
ENSG00000165246,2,0,0,0,2,0,1,1,0,0,0,0,19,0,0,0,0,2,1,0,1,1,0,0,0,2,0,0,0,1,0,114,395,122,220,58,121,1108,136,380,348,533,49,148,73,41,868,236,49,166
ENSG00000260197,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,62,78,29,49,13,118,24,158,27,61,6,35,16,9,142,32,68,16
ENSG00000262117,0,1,0,11,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,1,2,1,1,3,0,7,5,0,3413,0,0,0,586,0,0,6,517,0,0,8,0,2,1223,0,25,5,0
ENSG00000273906,0,0,0,0,0,0,0,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5,100,275,146,2,62,449,27,87,28,8,0,21,1,6,67,190,505,2
ENSG00000206159,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,1,0,45,57,309,51,20,36,504,64,57,11,25,6,5,0,97,173,38,143,4
ENSG00000092377,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,131,12,0,16,435,6,32,8,3,1,1,0,2,22,32,165,1
ENSG00000241859,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,15,18,18,20,47,14,320,35,86,17,47,3,6,0,14,66,42,82,1
