,TCGA-49-4501-01A-01R-1206-07,TCGA-86-8280-01A-11R-2287-07,TCGA-38-6178-01A-11R-1755-07,TCGA-55-7816-01A-11R-2170-07,TCGA-44-3919-01A-02R-1107-07,TCGA-78-7143-01A-11R-2039-07,TCGA-67-6216-01A-11R-1755-07,TCGA-73-7499-01A-11R-2187-07,TCGA-91-8496-01A-11R-2403-07,TCGA-62-8402-01A-11R-2326-07,TCGA-50-6673-01A-11R-1949-07,TCGA-44-2665-01A-01R-0946-07,TCGA-97-8547-01A-11R-2403-07,TCGA-05-5715-01A-01R-1628-07,TCGA-86-A4P8-01A-11R-A24X-07,TCGA-67-6215-01A-11R-1755-07,TCGA-05-4402-01A-01R-1206-07,TCGA-97-8177-01A-11R-2287-07,TCGA-55-8087-01A-11R-2241-07,TCGA-62-8397-01A-11R-2326-07,TCGA-62-A46Y-01A-11R-A24H-07,TCGA-97-8552-01A-11R-2403-07,TCGA-55-8513-01A-11R-2403-07,TCGA-38-4630-01A-01R-1206-07,TCGA-49-AAQV-01A-11R-A39D-07,TCGA-86-7953-01A-11R-2187-07,TCGA-86-8278-01A-11R-2287-07,TCGA-91-8497-01A-11R-2403-07,TCGA-55-A57B-01A-12R-A39D-07,TCGA-86-8668-01A-11R-2403-07,TCGA-62-8395-01A-11R-2326-07,TCGA-55-6980-01A-11R-1949-07,TCGA-50-5066-01A-01R-1628-07,TCGA-69-7760-01A-11R-2170-07,TCGA-55-6978-01A-11R-1949-07,TCGA-55-8505-01A-11R-2403-07,TCGA-86-7955-01A-11R-2187-07,TCGA-86-8279-01A-11R-2287-07,TCGA-86-8076-01A-31R-2241-07,TCGA-86-7701-01A-11R-2170-07,TCGA-55-8206-01A-11R-2241-07,TCGA-86-8585-01A-11R-2403-07,TCGA-35-3615-01A-01R-0946-07,TCGA-86-8672-01A-21R-2403-07,TCGA-05-5429-01A-01R-1628-07,TCGA-86-6562-01A-11R-1755-07,TCGA-95-8039-01A-11R-2241-07,TCGA-93-A4JP-01A-11R-A24X-07,TCGA-55-7815-01A-11R-2170-07,TCGA-86-7713-01A-11R-2066-07
ENSG00000067646,0,2,0,3,0,3,0,0,0,0,0,0,0,0,3,0,0,3,0,0,1,0,0,1,0,1,0,0,0,0,1,442,193,274,1080,335,808,531,1168,257,2236,374,1436,95,424,171,1035,1031,531,1824
ENSG00000114374,1,6,0,3,0,2,0,1,2,1,0,1,0,0,4,1,2,6,2,0,2,4,1,1,1,1,0,0,1,1,1,535,167,599,1199,541,1600,797,2161,384,6093,1471,3635,210,261,203,3598,1917,935,5980
ENSG00000183878,0,12,0,2,0,0,0,1,1,1,0,0,0,0,1,0,0,2,0,2,4,0,1,1,1,0,0,0,0,0,2,455,210,391,815,233,645,514,1308,297,4720,604,1393,92,464,175,1415,1231,541,6839
ENSG00000198692,0,2,0,1,0,1,0,0,0,4,0,0,0,0,0,0,0,1,1,2,6,1,0,1,0,1,1,0,1,0,0,185,435,578,1021,334,1361,790,1446,325,1198,829,1737,157,529,207,1946,1000,781,907
ENSG00000129824,6,60,0,19,3,18,0,13,4,10,0,3,1,2,5,8,14,21,5,16,39,1,3,9,18,12,0,3,1,11,12,6079,3381,6109,5720,2630,7937,7285,28648,2241,18424,4238,47604,1446,8325,2021,22594,4821,4661,15928
ENSG00000067048,2,15,0,2,0,7,0,3,1,6,0,3,0,0,3,2,0,9,2,4,9,2,0,1,3,3,1,0,2,1,5,1164,475,1530,2953,992,2273,2736,3576,925,9442,2315,2868,452,612,836,3830,3372,1427,6936
ENSG00000012817,2,12,0,1,2,3,0,7,3,6,0,0,0,0,2,0,0,10,1,8,2,0,3,3,2,7,2,2,2,1,2,431,290,599,1848,1022,2763,1819,3122,859,4821,4803,3318,682,568,421,3973,3155,1153,4057
ENSG00000131002,0,8,0,4,0,1,1,0,3,2,0,0,0,0,4,1,0,6,1,1,7,1,0,1,2,1,0,0,0,3,1,203,468,1115,1206,555,1376,865,1858,686,2925,1687,3187,242,616,197,3382,1982,1341,2491
ENSG00000176728,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12,15,109,67,55,181,212,239,11,232,227,490,8,110,13,497,118,63,208
ENSG00000099725,1,4,0,4,0,0,0,0,0,5,0,1,0,0,7,1,0,1,2,0,1,0,2,1,4,0,1,0,8,1,0,406,86,153,669,205,385,487,669,226,1890,539,1190,131,178,111,1093,908,227,1991
ENSG00000234854,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,7,0,0,0,0,0,0,0,0,1,0,1,0,2,61,523,0,0,0,0,0,0,0,2,2,2150
ENSG00000165246,0,1,0,2,0,1,0,0,0,2,19,2,0,0,1,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,136,49,220,533,121,114,236,395,148,1108,58,122,73,41,166,868,380,348,49
ENSG00000260197,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,24,6,29,61,13,25,32,62,35,118,49,78,16,9,16,142,158,27,68
ENSG00000262117,0,3,1,0,0,0,1,0,2,0,0,0,1,1,0,1,22,2,1,0,0,0,0,3,5,2,0,1,0,0,1,6,8,0,0,0,3413,25,0,0,0,586,0,2,1223,0,0,517,0,5
ENSG00000273906,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,1,27,0,146,8,62,5,190,100,21,449,2,275,1,6,2,67,87,28,505
ENSG00000206159,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,64,6,51,25,36,45,38,57,5,504,20,309,0,97,4,173,57,11,143
ENSG00000092377,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,6,1,12,3,16,0,32,28,1,435,0,131,0,2,1,22,32,8,165
ENSG00000241859,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,35,3,20,47,14,15,42,18,6,320,47,18,0,14,1,66,86,17,82
ENSG00000109132,0,1,1,0,1,2,0,0,0,0,1,0,0,0,1,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1,0,0,5,0,55,80,0,134,0,1,0,0,1,1,0,2330
ENSG00000105141,0,1,0,1,0,1,0,4,1,0,14,0,0,0,1,0,102,2,1,0,0,0,0,0,1,0,0,0,4,0,0,3,1,0,0,76,7410,467,0,0,0,19,0,2,21,0,0,120,0,2
ENSG00000215580,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,3,22,3,27,3,1,4,33,29,35,124,28,13,1,4,42,20,16,7
ENSG00000227234,0,2,0,25,0,0,1,1,1,0,0,0,2,0,2,0,5,1,0,0,0,0,0,0,3,1,0,0,5,0,0,1,140,0,2,1659,35,0,0,0,0,2660,0,2,0,0,0,0,0,0
ENSG00000002745,56,30,3,18,13,14,8,37,0,5,0,7,8,1,2,4,15,13,2,3,6,11,8,13,10,14,5,20,2,1,6,5,119,12,51,4,47,9,19,9155,4,4,8,5,7,13,6,11,9,7
ENSG00000169297,0,19,3,2,0,0,1,1,0,3,0,0,0,0,0,6,6,1,0,0,1,0,0,0,33,4,0,1,0,0,0,0,565,0,25,304,4,2,27,1,0,0,137,969,0,1,0,5,0,1
ENSG00000260458,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,2,0,4,0,3,2,0,0,0,1,0,0,0,0,58,0,0,3,1,0,369,1,3,0,0,0,87,0,0
ENSG00000179914,175,20,2,915200,13,27,11,46,71,13,352,3,3,510,150,80,23,100,14,5,40,83,36,99,3,33,10,13,7,12,12,13,5,3,6,4,2,14,67,4,96,8,28,2,43,47,27,66,11,12
ENSG00000229807,1323,3050,905,14604,4806,5193,6918,1874,2869,49582,2096,4675,1522,348,12667,10307,2622,5604,14959,1614,5959,8214,5534,932,10219,10617,15907,6510,25101,7500,8569,3,0,28,6,6,1,15,281,0,4,3,7,0,0,6,16,4,1,1
ENSG00000154478,0,1,0,7,0,0,0,0,0,102,2,1,3,1,2,0,0,1,4,0,0,0,0,19,0,15079,1,1,0,2,1,0,2,0,0,0,0,1,0,0,1,0,0,2,1,2,1,6,0,0
ENSG00000166049,0,0,0,1,1,0,1,0,0,0,1949,10,0,4,0,0,25,0,0,0,0,0,1,3,0,0,2,0,479,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0
ENSG00000139219,52,54,18,6,3,4,1,0,1,17794,2,480,5,3,6,1,108,7,1,0,2,6,0,116,37,4,4,65,6,6,16,4,2,5,6,4,2,14,6,1,3,7,0,3,5,12,17,3,0,71
ENSG00000170370,5,1,1,90,0,0,1,5,0,0,1,1,4,1,0,1,0,2,1,0,1,0,2,18806,2,4,2,1,0,0,0,0,0,0,1,1,0,0,2,1,2,0,0,5,0,0,0,0,2,0
ENSG00000175766,1,3,0,16,1,30,2,4,22,0,6,1,452,0,0,8,1,6,1,0,3,6,0,3,4125,0,19,0,0,0,0,4,0,0,1,0,0,3,0,0,0,1,0,0,0,1,2,0,0,0
ENSG00000183166,4,2,1,8,1,0,0,0,0,0,1,12,2,1,14,0,3,2,3,0,0,3,1,818,15,5,3,0,14,0,1,1,0,0,1,0,0,1,0,0,5,0,3,1,0,1,4,15,0,1
ENSG00000242366,34,0,0,0,9,0,0,0,0,7,2282,0,241,1123,0,111,29,0,0,0,2,1,1,0,0,0,4,1,9,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,17,0,0,0,0,2
ENSG00000238269,0,1,0,0,3,1,0,1,0,0,1,0,2,0,1,1,168,4,0,0,2,1,1,5,1,0,0,0,1027,0,0,0,0,0,0,2,1,1,0,1,0,0,0,0,0,1,2,0,0,0
ENSG00000157851,18,4,1,0,0,2,1,3,2,0,0,1,1,0,1,1,1,1,3,0,0,1,1,2514,2,22,1,0,0,0,2,2,2,6,0,0,0,0,1,0,1,1,1,1,0,0,0,1,4,0
ENSG00000229847,7,4,3,246,0,2,1,11,3,0,1,8,6,1,0,1,0,11,1,0,0,0,2,10122,4,6,2,0,0,0,1,0,2,0,1,3,0,3,1,0,3,1,0,9,1,9,1,2,0,1
ENSG00000136110,126,8,1577,0,0,0,57,3,4,1,1,78388,0,18,25,2,6,15,4,1,2,119,0,29,96,40,27,194,0,1,2,0,4,493,0,1,0,14,27,1,19,0,1,0,2,1,3,6,2,1
ENSG00000177108,12,2,2,0,0,0,0,0,0,992,2,0,0,0,7,1,0,1,0,0,1,2,2,17,0,2,2,10,3,0,1,0,0,0,1,1,0,1,1,1,1,0,2,0,0,1,1,0,0,1
ENSG00000248300,1,1,0,514,2,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,2,2,4,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
ENSG00000142515,3,0,0,0,0,9,1,53,0,0,0,0,0,0,2,0,0,4,0,0,0,1,1,0,1,152,0,8,0,0,1,0,0,2,0,0,0,0,2,1,1,0,0,1,1,1,1,1,0,1
