,TCGA-38-4630-01A-01R-1206-07,TCGA-44-2661-01A-01R-1107-07,TCGA-J2-8192-01A-11R-2241-07,TCGA-62-8397-01A-11R-2326-07,TCGA-49-AAQV-01A-11R-A39D-07,TCGA-91-8497-01A-11R-2403-07,TCGA-55-8619-01A-11R-2403-07,TCGA-55-7816-01A-11R-2170-07,TCGA-86-8671-01A-11R-2403-07,TCGA-50-6673-01A-11R-1949-07,TCGA-91-8496-01A-11R-2403-07,TCGA-38-4628-01A-01R-1206-07,TCGA-86-8668-01A-11R-2403-07,TCGA-97-8552-01A-11R-2403-07,TCGA-67-6215-01A-11R-1755-07,TCGA-62-A46Y-01A-11R-A24H-07,TCGA-78-7540-01A-11R-2066-07,TCGA-97-A4M6-01A-11R-A24X-07,TCGA-67-6216-01A-11R-1755-07,TCGA-97-8547-01A-11R-2403-07,TCGA-49-4501-01A-01R-1206-07,TCGA-78-7143-01A-11R-2039-07,TCGA-05-5715-01A-01R-1628-07,TCGA-05-4402-01A-01R-1206-07,TCGA-50-6591-01A-11R-1755-07,TCGA-55-6982-01A-11R-1949-07,TCGA-86-8280-01A-11R-2287-07,TCGA-50-6597-01A-11R-1858-07,TCGA-86-A4P8-01A-11R-A24X-07,TCGA-73-7499-01A-11R-2187-07,TCGA-99-8033-01A-11R-2241-07,TCGA-35-3615-01A-01R-0946-07,TCGA-50-5066-01A-01R-1628-07,TCGA-93-A4JP-01A-11R-A24X-07,TCGA-86-7713-01A-11R-2066-07,TCGA-86-8076-01A-31R-2241-07,TCGA-86-8672-01A-21R-2403-07,TCGA-86-8585-01A-11R-2403-07,TCGA-86-7701-01A-11R-2170-07,TCGA-55-6980-01A-11R-1949-07,TCGA-86-7955-01A-11R-2187-07,TCGA-55-6978-01A-11R-1949-07,TCGA-05-5429-01A-01R-1628-07,TCGA-86-6562-01A-11R-1755-07,TCGA-55-7815-01A-11R-2170-07,TCGA-95-8039-01A-11R-2241-07,TCGA-69-7760-01A-11R-2170-07,TCGA-86-8279-01A-11R-2287-07,TCGA-55-8206-01A-11R-2241-07,TCGA-55-8505-01A-11R-2403-07
ENSG00000067646,1,1,0,0,0,0,1,3,3,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,2,0,3,0,0,1436,193,1031,1824,1168,95,374,257,442,808,1080,424,171,531,1035,274,531,2236,335
ENSG00000114374,1,0,0,0,1,0,0,3,5,0,2,0,1,4,1,2,1,1,0,0,1,2,0,2,0,0,6,0,4,1,6,3635,167,1917,5980,2161,210,1471,384,535,1600,1199,261,203,935,3598,599,797,6093,541
ENSG00000183878,1,0,1,2,1,0,2,2,10,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,12,0,1,1,3,1393,210,1231,6839,1308,92,604,297,455,645,815,464,175,541,1415,391,514,4720,233
ENSG00000198692,1,0,0,2,0,0,0,1,2,0,0,0,0,1,0,6,1,1,0,0,0,1,0,0,0,0,2,0,0,0,1,1737,435,1000,907,1446,157,829,325,185,1361,1021,529,207,781,1946,578,790,1198,334
ENSG00000129824,9,2,0,16,18,3,6,19,59,0,4,5,11,1,8,39,3,4,0,1,6,18,2,14,0,1,60,0,5,13,30,47604,3381,4821,15928,28648,1446,4238,2241,6079,7937,5720,8325,2021,4661,22594,6109,7285,18424,2630
ENSG00000067048,1,1,0,4,3,0,3,2,10,0,1,2,1,2,2,9,0,1,0,0,2,7,0,0,0,2,15,0,3,3,5,2868,475,3372,6936,3576,452,2315,925,1164,2273,2953,612,836,1427,3830,1530,2736,9442,992
ENSG00000012817,3,1,0,8,2,2,2,1,12,0,3,0,1,0,0,2,0,1,0,0,2,3,0,0,1,0,12,2,2,7,3,3318,290,3155,4057,3122,682,4803,859,431,2763,1848,568,421,1153,3973,599,1819,4821,1022
ENSG00000131002,1,0,0,1,2,0,0,4,8,0,3,0,3,1,1,7,0,5,1,0,0,1,0,0,0,0,8,0,4,0,3,3187,468,1982,2491,1858,242,1687,686,203,1376,1206,616,197,1341,3382,1115,865,2925,555
ENSG00000176728,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,490,15,118,208,239,8,227,11,12,181,67,110,13,63,497,109,212,232,55
ENSG00000099725,1,0,2,0,4,0,5,4,3,0,0,0,1,0,1,1,3,0,0,0,1,0,0,0,0,0,4,0,7,0,6,1190,86,908,1991,669,131,539,226,406,385,669,178,111,227,1093,153,487,1890,205
