,TCGA-55-6986-01A-11R-1949-07,TCGA-86-8668-01A-11R-2403-07,TCGA-86-8075-01A-11R-2241-07,TCGA-49-4501-01A-01R-1206-07,TCGA-62-8397-01A-11R-2326-07,TCGA-86-8671-01A-11R-2403-07,TCGA-73-7499-01A-11R-2187-07,TCGA-86-A4P8-01A-11R-A24X-07,TCGA-J2-8192-01A-11R-2241-07,TCGA-38-6178-01A-11R-1755-07,TCGA-97-8547-01A-11R-2403-07,TCGA-05-4402-01A-01R-1206-07,TCGA-97-8177-01A-11R-2287-07,TCGA-55-7816-01A-11R-2170-07,TCGA-86-8278-01A-11R-2287-07,TCGA-55-6982-01A-11R-1949-07,TCGA-50-6597-01A-11R-1858-07,TCGA-91-8496-01A-11R-2403-07,TCGA-78-7540-01A-11R-2066-07,TCGA-86-7953-01A-11R-2187-07,TCGA-55-A57B-01A-12R-A39D-07,TCGA-67-6215-01A-11R-1755-07,TCGA-91-8497-01A-11R-2403-07,TCGA-44-3919-01A-02R-1107-07,TCGA-71-8520-01A-11R-2403-07,TCGA-67-6216-01A-11R-1755-07,TCGA-86-8280-01A-11R-2287-07,TCGA-78-7143-01A-11R-2039-07,TCGA-86-A4P7-01A-11R-A24X-07,TCGA-38-4628-01A-01R-1206-07,TCGA-44-2661-01A-01R-1107-07,TCGA-55-8505-01A-11R-2403-07,TCGA-93-A4JP-01A-11R-A24X-07,TCGA-55-6980-01A-11R-1949-07,TCGA-86-7713-01A-11R-2066-07,TCGA-86-8279-01A-11R-2287-07,TCGA-86-6562-01A-11R-1755-07,TCGA-95-8039-01A-11R-2241-07,TCGA-86-7701-01A-11R-2170-07,TCGA-86-8076-01A-31R-2241-07,TCGA-35-3615-01A-01R-0946-07,TCGA-05-5429-01A-01R-1628-07,TCGA-86-7955-01A-11R-2187-07,TCGA-50-5066-01A-01R-1628-07,TCGA-86-8672-01A-21R-2403-07,TCGA-86-8585-01A-11R-2403-07,TCGA-55-7815-01A-11R-2170-07,TCGA-55-8206-01A-11R-2241-07,TCGA-55-6978-01A-11R-1949-07,TCGA-69-7760-01A-11R-2170-07
ENSG00000067646,0,0,0,0,0,3,0,3,0,0,0,0,3,3,0,0,0,0,0,1,0,0,0,0,0,0,2,3,2,0,1,335,1031,442,1824,531,171,1035,257,1168,1436,424,808,193,95,374,531,2236,1080,274
ENSG00000114374,0,1,4,1,0,5,1,4,0,0,0,2,6,3,0,0,0,2,1,1,1,1,0,0,0,0,6,2,1,0,0,541,1917,535,5980,797,203,3598,384,2161,3635,261,1600,167,210,1471,935,6093,1199,599
ENSG00000183878,0,0,0,0,2,10,1,1,1,0,0,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,12,0,0,0,0,233,1231,455,6839,514,175,1415,297,1308,1393,464,645,210,92,604,541,4720,815,391
ENSG00000198692,0,0,0,0,2,2,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,2,0,2,1,0,0,0,334,1000,185,907,790,207,1946,325,1446,1737,529,1361,435,157,829,781,1198,1021,578
ENSG00000129824,1,11,41,6,16,59,13,5,0,0,1,14,21,19,0,1,0,4,3,12,1,8,3,3,0,0,60,18,5,5,2,2630,4821,6079,15928,7285,2021,22594,2241,28648,47604,8325,7937,3381,1446,4238,4661,18424,5720,6109
ENSG00000067048,2,1,1,2,4,10,3,3,0,0,0,0,9,2,1,2,0,1,0,3,2,2,0,0,1,0,15,7,0,2,1,992,3372,1164,6936,2736,836,3830,925,3576,2868,612,2273,475,452,2315,1427,9442,2953,1530
ENSG00000012817,0,1,2,2,8,12,7,2,0,0,0,0,10,1,2,0,2,3,0,7,2,0,2,2,2,0,12,3,2,0,1,1022,3155,431,4057,1819,421,3973,859,3122,3318,568,2763,290,682,4803,1153,4821,1848,599
ENSG00000131002,2,3,0,0,1,8,0,4,0,0,0,0,6,4,0,0,0,3,0,1,0,1,0,0,0,1,8,1,1,0,0,555,1982,203,2491,865,197,3382,686,1858,3187,616,1376,468,242,1687,1341,2925,1206,1115
ENSG00000176728,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,55,118,12,208,212,13,497,11,239,490,110,181,15,8,227,63,232,67,109
ENSG00000099725,2,1,0,1,0,3,0,7,2,0,0,0,1,4,1,0,0,0,3,0,8,1,0,0,0,0,4,0,0,0,0,205,908,406,1991,487,111,1093,226,669,1190,178,385,86,131,539,227,1890,669,153
ENSG00000234854,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,2150,2,0,0,523,61,0,0,0,0,0,0,2,0,0,1
ENSG00000165246,0,0,0,0,1,1,0,1,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,121,380,136,49,236,166,868,148,395,122,41,114,49,73,58,348,1108,533,220
ENSG00000260197,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,158,24,68,32,16,142,35,62,78,9,25,6,16,49,27,118,61,29
ENSG00000262117,0,0,1,0,0,0,0,0,1,1,1,22,2,0,0,0,1,2,1,2,0,1,1,0,0,1,3,0,1,11,0,0,517,6,5,25,0,0,0,0,0,1223,3413,8,2,586,0,0,0,0
ENSG00000273906,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,62,87,27,505,190,2,67,21,100,275,6,5,0,1,2,28,449,8,146
ENSG00000206159,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,36,57,64,143,38,4,173,5,57,309,97,45,6,0,20,11,504,25,51
ENSG00000092377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,16,32,6,165,32,1,22,1,28,131,2,0,1,0,0,8,435,3,12
ENSG00000241859,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,14,86,35,82,42,1,66,6,18,18,14,15,3,0,47,17,320,47,20
ENSG00000109132,0,0,0,0,0,0,0,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,1,0,2330,0,0,1,80,55,0,0,5,0,1,134,0,0,0,1
ENSG00000105141,0,0,0,0,0,0,4,1,82,0,0,102,2,1,0,1,0,1,2,0,4,0,0,0,0,0,1,1,0,0,0,76,120,3,2,467,0,0,0,0,0,21,7410,1,2,19,0,0,0,0
ENSG00000215580,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,3,20,3,7,4,4,42,29,33,28,1,1,22,13,124,16,35,27,3
ENSG00000227234,0,0,2,0,0,2,1,2,1,0,2,5,1,25,0,0,0,1,14,1,5,0,0,0,1,1,2,0,0,0,0,1659,0,1,0,0,0,0,0,0,0,0,35,140,2,2660,0,0,2,0
ENSG00000002745,4,1,9,56,3,24,37,2,18,3,8,15,13,18,5,4,16,0,9,14,2,4,20,13,5,8,30,14,13,5,40,4,11,5,7,9,13,6,9155,19,8,7,47,119,5,4,9,4,51,12
ENSG00000169297,0,0,46,0,0,0,1,0,1,3,0,6,1,2,0,1,0,0,0,4,0,6,1,0,0,1,19,0,0,0,5,304,5,0,1,2,1,0,1,27,137,0,4,565,969,0,0,0,25,0
ENSG00000260458,0,0,6,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,58,87,0,0,0,0,0,1,3,1,0,0,0,3,369,0,0,0,0
ENSG00000179914,908,12,6,175,5,18,46,150,22,2,3,23,100,915200,10,2,12,71,60,33,7,80,13,13,30,11,20,27,145,194,152,4,66,13,12,14,47,27,4,67,28,43,2,5,2,8,11,96,6,3
ENSG00000229807,1390,7500,13332,1323,1614,6118,1874,12667,20132,905,1522,2622,5604,14604,15907,586,74,2869,813,10617,25101,10307,6510,4806,2305,6918,3050,5193,12283,216,3538,6,4,3,1,15,6,16,0,281,7,0,1,0,0,3,1,4,6,28
ENSG00000154478,1,2,1,0,0,3,0,2,0,0,3,0,1,7,1,1,0,0,0,15079,0,0,1,0,0,0,1,0,0,0,2,0,6,0,0,1,2,1,0,0,0,1,0,2,2,0,0,1,0,0
ENSG00000166049,0,0,0,0,0,0,0,0,0,0,0,25,0,1,2,0,0,0,0,0,479,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
ENSG00000139219,1,6,38,52,0,5,0,6,33,18,5,108,7,6,4,1,8,1,0,4,6,1,65,3,125,1,54,4,3,208,5,4,3,4,71,14,12,17,1,6,0,5,2,2,3,7,0,3,6,5
ENSG00000170370,0,0,9,5,0,4,5,0,2,1,4,0,2,90,2,1,0,0,0,4,0,1,1,0,2,1,1,0,0,12,0,1,0,0,0,0,0,0,1,2,0,0,0,0,5,0,2,2,1,0
ENSG00000175766,0,0,1,1,0,0,4,0,0,0,452,1,6,16,19,0,1,22,0,0,0,8,0,1,0,2,3,30,5,0,0,0,0,4,0,3,1,2,0,0,0,0,0,0,0,1,0,0,1,0
