,TCGA-55-6986-01A-11R-1949-07,TCGA-55-8619-01A-11R-2403-07,TCGA-44-2665-01A-01R-0946-07,TCGA-97-A4M6-01A-11R-A24X-07,TCGA-62-A46Y-01A-11R-A24H-07,TCGA-73-7499-01A-11R-2187-07,TCGA-49-4512-01A-21R-1858-07,TCGA-44-2661-01A-01R-1107-07,TCGA-38-6178-01A-11R-1755-07,TCGA-05-5715-01A-01R-1628-07,TCGA-97-8552-01A-11R-2403-07,TCGA-86-8278-01A-11R-2287-07,TCGA-55-8513-01A-11R-2403-07,TCGA-38-4630-01A-01R-1206-07,TCGA-55-6982-01A-11R-1949-07,TCGA-86-7953-01A-11R-2187-07,TCGA-62-8397-01A-11R-2326-07,TCGA-55-8087-01A-11R-2241-07,TCGA-50-6591-01A-11R-1755-07,TCGA-67-3772-01A-01R-0946-07,TCGA-86-8280-01A-11R-2287-07,TCGA-49-4501-01A-01R-1206-07,TCGA-99-8033-01A-11R-2241-07,TCGA-05-4402-01A-01R-1206-07,TCGA-55-A57B-01A-12R-A39D-07,TCGA-67-6216-01A-11R-1755-07,TCGA-62-8402-01A-11R-2326-07,TCGA-67-6215-01A-11R-1755-07,TCGA-91-8497-01A-11R-2403-07,TCGA-97-8177-01A-11R-2287-07,TCGA-86-A4P7-01A-11R-A24X-07,TCGA-55-8505-01A-11R-2403-07,TCGA-86-6562-01A-11R-1755-07,TCGA-55-6978-01A-11R-1949-07,TCGA-86-7955-01A-11R-2187-07,TCGA-95-8039-01A-11R-2241-07,TCGA-50-5066-01A-01R-1628-07,TCGA-35-3615-01A-01R-0946-07,TCGA-86-8585-01A-11R-2403-07,TCGA-05-5429-01A-01R-1628-07,TCGA-55-8206-01A-11R-2241-07,TCGA-69-7760-01A-11R-2170-07,TCGA-55-6980-01A-11R-1949-07,TCGA-93-A4JP-01A-11R-A24X-07,TCGA-86-7701-01A-11R-2170-07,TCGA-86-7713-01A-11R-2066-07,TCGA-86-8076-01A-31R-2241-07,TCGA-86-8279-01A-11R-2287-07,TCGA-55-7815-01A-11R-2170-07,TCGA-86-8672-01A-21R-2403-07
ENSG00000067646,0,1,0,0,1,0,2,1,0,0,0,0,0,1,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,3,2,335,171,1080,808,1035,193,1436,374,424,2236,274,442,1031,257,1824,1168,531,531,95
ENSG00000114374,0,0,1,1,2,1,3,0,0,0,4,0,1,1,0,1,0,2,0,1,6,1,6,2,1,0,1,1,0,6,1,541,203,1199,1600,3598,167,3635,1471,261,6093,599,535,1917,384,5980,2161,797,935,210
ENSG00000183878,0,2,0,0,4,1,1,0,0,0,0,0,1,1,0,0,2,0,0,0,12,0,3,0,0,0,1,0,0,2,0,233,175,815,645,1415,210,1393,604,464,4720,391,455,1231,297,6839,1308,514,541,92
ENSG00000198692,0,0,0,1,6,0,4,0,0,0,1,1,0,1,0,1,2,1,0,1,2,0,1,0,1,0,4,0,0,1,0,334,207,1021,1361,1946,435,1737,829,529,1198,578,185,1000,325,907,1446,790,781,157
ENSG00000129824,1,6,3,4,39,13,32,2,0,2,1,0,3,9,1,12,16,5,0,11,60,6,30,14,1,0,10,8,3,21,5,2630,2021,5720,7937,22594,3381,47604,4238,8325,18424,6109,6079,4821,2241,15928,28648,7285,4661,1446
ENSG00000067048,2,3,3,1,9,3,11,1,0,0,2,1,0,1,2,3,4,2,0,3,15,2,5,0,2,0,6,2,0,9,0,992,836,2953,2273,3830,475,2868,2315,612,9442,1530,1164,3372,925,6936,3576,2736,1427,452
ENSG00000012817,0,2,0,1,2,7,3,1,0,0,0,2,3,3,0,7,8,1,1,1,12,2,3,0,2,0,6,0,2,10,2,1022,421,1848,2763,3973,290,3318,4803,568,4821,599,431,3155,859,4057,3122,1819,1153,682
ENSG00000131002,2,0,0,5,7,0,8,0,0,0,1,0,0,1,0,1,1,1,0,0,8,0,3,0,0,1,2,1,0,6,1,555,197,1206,1376,3382,468,3187,1687,616,2925,1115,203,1982,686,2491,1858,865,1341,242
ENSG00000176728,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,55,13,67,181,497,15,490,227,110,232,109,12,118,11,208,239,212,63,8
ENSG00000099725,2,5,1,0,1,0,1,0,0,0,0,1,2,1,0,0,0,2,0,1,4,1,6,0,8,0,5,1,0,1,0,205,111,669,385,1093,86,1190,539,178,1890,153,406,908,226,1991,669,487,227,131
