,TCGA-86-A4P7-01A-11R-A24X-07,TCGA-55-7816-01A-11R-2170-07,TCGA-99-8033-01A-11R-2241-07,TCGA-62-8395-01A-11R-2326-07,TCGA-97-8547-01A-11R-2403-07,TCGA-91-8496-01A-11R-2403-07,TCGA-86-7953-01A-11R-2187-07,TCGA-05-5715-01A-01R-1628-07,TCGA-71-8520-01A-11R-2403-07,TCGA-55-6986-01A-11R-1949-07,TCGA-38-4630-01A-01R-1206-07,TCGA-49-AAQV-01A-11R-A39D-07,TCGA-44-3919-01A-02R-1107-07,TCGA-62-8397-01A-11R-2326-07,TCGA-73-7499-01A-11R-2187-07,TCGA-86-A4P8-01A-11R-A24X-07,TCGA-62-8402-01A-11R-2326-07,TCGA-44-2665-01A-01R-0946-07,TCGA-86-8075-01A-11R-2241-07,TCGA-05-4402-01A-01R-1206-07,TCGA-86-8280-01A-11R-2287-07,TCGA-78-7540-01A-11R-2066-07,TCGA-50-6673-01A-11R-1949-07,TCGA-49-4501-01A-01R-1206-07,TCGA-44-2661-01A-01R-1107-07,TCGA-97-8177-01A-11R-2287-07,TCGA-50-6597-01A-11R-1858-07,TCGA-62-A46Y-01A-11R-A24H-07,TCGA-38-4628-01A-01R-1206-07,TCGA-38-6178-01A-11R-1755-07,TCGA-55-8619-01A-11R-2403-07,TCGA-69-7760-01A-11R-2170-07,TCGA-86-7713-01A-11R-2066-07,TCGA-86-8672-01A-21R-2403-07,TCGA-05-5429-01A-01R-1628-07,TCGA-86-8076-01A-31R-2241-07,TCGA-55-8505-01A-11R-2403-07,TCGA-86-7955-01A-11R-2187-07,TCGA-55-6978-01A-11R-1949-07,TCGA-86-7701-01A-11R-2170-07,TCGA-86-8585-01A-11R-2403-07,TCGA-50-5066-01A-01R-1628-07,TCGA-35-3615-01A-01R-0946-07,TCGA-95-8039-01A-11R-2241-07,TCGA-93-A4JP-01A-11R-A24X-07,TCGA-86-8279-01A-11R-2287-07,TCGA-55-7815-01A-11R-2170-07,TCGA-55-8206-01A-11R-2241-07,TCGA-86-6562-01A-11R-1755-07,TCGA-55-6980-01A-11R-1949-07
ENSG00000067646,2,3,0,1,0,0,1,0,0,0,1,0,0,0,0,3,0,0,0,0,2,0,0,0,1,3,0,1,0,0,1,274,1824,95,424,1168,335,808,1080,257,374,193,1436,1035,1031,531,531,2236,171,442
ENSG00000114374,1,3,6,1,0,2,1,0,0,0,1,1,0,0,1,4,1,1,4,2,6,1,0,1,0,6,0,2,0,0,0,599,5980,210,261,2161,541,1600,1199,384,1471,167,3635,3598,1917,797,935,6093,203,535
ENSG00000183878,0,2,3,2,0,1,0,0,0,0,1,1,0,2,1,1,1,0,0,0,12,0,0,0,0,2,0,4,0,0,2,391,6839,92,464,1308,233,645,815,297,604,210,1393,1415,1231,514,541,4720,175,455
ENSG00000198692,0,1,1,0,0,0,1,0,2,0,1,0,0,2,0,0,4,0,0,0,2,1,0,0,0,1,0,6,0,0,0,578,907,157,529,1446,334,1361,1021,325,829,435,1737,1946,1000,790,781,1198,207,185
ENSG00000129824,5,19,30,12,1,4,12,2,0,1,9,18,3,16,13,5,10,3,41,14,60,3,0,6,2,21,0,39,5,0,6,6109,15928,1446,8325,28648,2630,7937,5720,2241,4238,3381,47604,22594,4821,7285,4661,18424,2021,6079
ENSG00000067048,0,2,5,5,0,1,3,0,1,2,1,3,0,4,3,3,6,3,1,0,15,0,0,2,1,9,0,9,2,0,3,1530,6936,452,612,3576,992,2273,2953,925,2315,475,2868,3830,3372,2736,1427,9442,836,1164
ENSG00000012817,2,1,3,2,0,3,7,0,2,0,3,2,2,8,7,2,6,0,2,0,12,0,0,2,1,10,2,2,0,0,2,599,4057,682,568,3122,1022,2763,1848,859,4803,290,3318,3973,3155,1819,1153,4821,421,431
ENSG00000131002,1,4,3,1,0,3,1,0,0,2,1,2,0,1,0,4,2,0,0,0,8,0,0,0,0,6,0,7,0,0,0,1115,2491,242,616,1858,555,1376,1206,686,1687,468,3187,3382,1982,865,1341,2925,197,203
ENSG00000176728,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,109,208,8,110,239,55,181,67,11,227,15,490,497,118,212,63,232,13,12
ENSG00000099725,0,4,6,0,0,0,0,0,0,2,1,4,0,0,0,7,5,1,0,0,4,3,0,1,0,1,0,1,0,0,5,153,1991,131,178,669,205,385,669,226,539,86,1190,1093,908,487,227,1890,111,406
ENSG00000234854,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,2150,0,0,61,1,0,0,523,0,0,0,0,2,2,2,0,0,0
ENSG00000165246,1,2,1,0,0,0,0,0,0,0,0,1,0,1,0,1,2,2,0,0,1,0,19,0,0,1,1,1,0,0,0,220,49,73,41,395,121,114,533,148,58,49,122,868,380,236,348,1108,166,136
ENSG00000260197,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,29,68,16,9,62,13,25,61,35,49,6,78,142,158,32,27,118,16,24
ENSG00000262117,1,0,0,1,1,2,2,1,0,0,3,5,0,0,0,0,0,0,1,22,3,1,0,0,0,2,1,0,11,1,1,0,5,2,1223,0,0,3413,0,0,586,8,0,0,517,25,0,0,0,6
ENSG00000273906,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,146,505,1,6,100,62,5,8,21,2,0,275,67,87,190,28,449,2,27
ENSG00000206159,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,51,143,0,97,57,36,45,25,5,20,6,309,173,57,38,11,504,4,64
ENSG00000092377,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,12,165,0,2,28,16,0,3,1,0,1,131,22,32,32,8,435,1,6
ENSG00000241859,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,20,82,0,14,18,14,15,47,6,47,3,18,66,86,42,17,320,1,35
ENSG00000109132,0,0,15,2,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,2,0,0,0,1,0,1,2330,1,0,55,0,5,0,80,134,0,0,1,1,0,0,0,0,0
