,TCGA-86-8280-01A-11R-2287-07,TCGA-44-2661-01A-01R-1107-07,TCGA-78-7143-01A-11R-2039-07,TCGA-55-7816-01A-11R-2170-07,TCGA-38-4628-01A-01R-1206-07,TCGA-05-4402-01A-01R-1206-07,TCGA-49-4512-01A-21R-1858-07,TCGA-91-8497-01A-11R-2403-07,TCGA-86-8668-01A-11R-2403-07,TCGA-73-7499-01A-11R-2187-07,TCGA-62-8397-01A-11R-2326-07,TCGA-55-A57B-01A-12R-A39D-07,TCGA-05-5715-01A-01R-1628-07,TCGA-55-8087-01A-11R-2241-07,TCGA-99-8033-01A-11R-2241-07,TCGA-50-6597-01A-11R-1858-07,TCGA-67-3772-01A-01R-0946-07,TCGA-44-2665-01A-01R-0946-07,TCGA-86-8075-01A-11R-2241-07,TCGA-55-8513-01A-11R-2403-07,TCGA-J2-A4AE-01A-21R-A24H-07,TCGA-62-8395-01A-11R-2326-07,TCGA-62-A46Y-01A-11R-A24H-07,TCGA-86-A4P7-01A-11R-A24X-07,TCGA-49-4501-01A-01R-1206-07,TCGA-62-8394-01A-11R-2326-07,TCGA-55-8619-01A-11R-2403-07,TCGA-62-8402-01A-11R-2326-07,TCGA-97-8552-01A-11R-2403-07,TCGA-50-6673-01A-11R-1949-07,TCGA-49-AAQV-01A-11R-A39D-07,TCGA-95-8039-01A-11R-2241-07,TCGA-50-5066-01A-01R-1628-07,TCGA-86-8585-01A-11R-2403-07,TCGA-69-7760-01A-11R-2170-07,TCGA-05-5429-01A-01R-1628-07,TCGA-86-8279-01A-11R-2287-07,TCGA-93-A4JP-01A-11R-A24X-07,TCGA-86-7701-01A-11R-2170-07,TCGA-86-6562-01A-11R-1755-07,TCGA-55-8505-01A-11R-2403-07,TCGA-55-7815-01A-11R-2170-07,TCGA-86-8672-01A-21R-2403-07,TCGA-55-8206-01A-11R-2241-07,TCGA-86-8076-01A-31R-2241-07,TCGA-86-7955-01A-11R-2187-07,TCGA-55-6978-01A-11R-1949-07,TCGA-86-7713-01A-11R-2066-07,TCGA-35-3615-01A-01R-0946-07,TCGA-55-6980-01A-11R-1949-07
ENSG00000067646,2,1,3,3,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,2,0,1,1,0,0,0,0,1035,193,374,274,424,531,1031,257,171,335,531,95,2236,1168,808,1080,1824,1436,442
ENSG00000114374,6,0,2,3,0,2,3,0,1,1,0,1,0,2,6,0,1,1,4,1,4,1,2,1,1,2,0,1,4,0,1,3598,167,1471,599,261,797,1917,384,203,541,935,210,6093,2161,1600,1199,5980,3635,535
ENSG00000183878,12,0,0,2,0,0,1,0,0,1,2,0,0,0,3,0,0,0,0,1,0,2,4,0,0,1,2,1,0,0,1,1415,210,604,391,464,514,1231,297,175,233,541,92,4720,1308,645,815,6839,1393,455
ENSG00000198692,2,0,1,1,0,0,4,0,0,0,2,1,0,1,1,0,1,0,0,0,2,0,6,0,0,3,0,4,1,0,0,1946,435,829,578,529,790,1000,325,207,334,781,157,1198,1446,1361,1021,907,1737,185
ENSG00000129824,60,2,18,19,5,14,32,3,11,13,16,1,2,5,30,0,11,3,41,3,24,12,39,5,6,10,6,10,1,0,18,22594,3381,4238,6109,8325,7285,4821,2241,2021,2630,4661,1446,18424,28648,7937,5720,15928,47604,6079
ENSG00000067048,15,1,7,2,2,0,11,0,1,3,4,2,0,2,5,0,3,3,1,0,4,5,9,0,2,6,3,6,2,0,3,3830,475,2315,1530,612,2736,3372,925,836,992,1427,452,9442,3576,2273,2953,6936,2868,1164
ENSG00000012817,12,1,3,1,0,0,3,2,1,7,8,2,0,1,3,2,1,0,2,3,3,2,2,2,2,3,2,6,0,0,2,3973,290,4803,599,568,1819,3155,859,421,1022,1153,682,4821,3122,2763,1848,4057,3318,431
ENSG00000131002,8,0,1,4,0,0,8,0,3,0,1,0,0,1,3,0,0,0,0,0,3,1,7,1,0,1,0,2,1,0,2,3382,468,1687,1115,616,865,1982,686,197,555,1341,242,2925,1858,1376,1206,2491,3187,203
ENSG00000176728,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,497,15,227,109,110,212,118,11,13,55,63,8,232,239,181,67,208,490,12
ENSG00000099725,4,0,0,4,0,0,1,0,1,0,0,8,0,2,6,0,1,1,0,2,3,0,1,0,1,0,5,5,0,0,4,1093,86,539,153,178,487,908,226,111,205,227,131,1890,669,385,669,1991,1190,406
ENSG00000234854,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,7,0,0,0,1,0,2,2,523,0,1,2,0,0,61,0,0,2150,0,0
ENSG00000165246,1,0,1,2,0,0,2,0,0,0,1,0,0,1,1,1,0,2,0,0,0,0,1,1,0,0,0,2,1,19,1,868,49,58,220,41,236,380,148,166,121,348,73,1108,395,114,533,49,122,136
ENSG00000260197,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,142,6,49,29,9,32,158,35,16,13,27,16,118,62,25,61,68,78,24
ENSG00000262117,3,0,0,0,11,22,1,1,0,0,0,0,1,1,0,1,0,0,1,0,1,1,0,1,0,7,1,0,0,0,5,0,8,586,0,1223,25,517,0,0,0,0,2,0,0,3413,0,5,0,6
ENSG00000273906,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,67,0,2,146,6,190,87,21,2,62,28,1,449,100,5,8,505,275,27
ENSG00000206159,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,1,173,6,20,51,97,38,57,5,4,36,11,0,504,57,45,25,143,309,64
ENSG00000092377,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,22,1,0,12,2,32,32,1,1,16,8,0,435,28,0,3,165,131,6
ENSG00000241859,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,3,47,20,14,42,86,6,1,14,17,0,320,18,15,47,82,18,35
ENSG00000109132,1,0,2,0,0,0,1,0,0,0,0,0,0,1,15,0,0,0,0,0,1,2,0,0,0,6,0,0,0,1,0,1,0,134,1,0,0,1,80,0,0,0,1,0,55,5,0,2330,0,0
ENSG00000105141,1,0,1,1,0,102,0,0,0,4,0,4,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0,1,19,0,21,467,120,0,0,76,0,2,0,0,7410,0,2,0,3
ENSG00000215580,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,42,22,124,3,1,4,20,29,4,3,16,13,35,33,1,27,7,28,3
ENSG00000227234,2,0,0,25,0,5,0,0,0,1,0,5,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,140,2660,0,0,0,0,0,0,1659,0,2,0,0,35,2,0,0,1
ENSG00000002745,30,40,14,18,5,15,4,20,1,37,3,2,1,2,4,16,7,7,9,8,20,6,6,13,56,45,7,5,11,0,10,6,119,4,12,7,9,11,9155,13,4,9,5,4,19,47,51,7,8,5
ENSG00000169297,19,5,0,2,0,6,0,1,0,1,0,0,0,0,0,0,0,0,46,0,0,0,1,0,0,0,4,3,0,0,33,0,565,0,0,0,2,5,1,1,304,0,969,0,27,4,25,1,137,0
ENSG00000260458,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,6,0,0,1,0,0,0,4,0,1,2,2,0,0,0,369,0,0,0,87,1,0,58,0,3,0,3,0,0,0,1,0
ENSG00000179914,20,152,27,915200,194,23,3,13,12,46,5,7,510,14,6,12,22,3,6,36,32,12,40,145,175,86,62,13,83,352,3,27,5,8,3,43,14,66,4,47,4,11,2,96,67,2,6,12,28,13
ENSG00000229807,3050,3538,5193,14604,216,2622,7095,6510,7500,1874,1614,25101,348,14959,2216,74,749,4675,13332,5534,7460,8569,5959,12283,1323,3670,5920,49582,8214,2096,10219,16,0,3,28,0,15,4,0,6,6,1,0,4,281,1,6,1,7,3
ENSG00000154478,1,2,0,7,0,0,3,1,2,0,0,0,1,4,0,0,1,1,1,0,0,1,0,0,0,0,0,102,0,2,0,1,2,0,0,1,1,6,0,2,0,0,2,1,0,0,0,0,0,0
ENSG00000166049,0,0,0,1,0,25,0,0,0,0,0,479,4,0,1,0,0,10,0,1,0,0,0,0,0,0,0,0,0,1949,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000139219,54,5,4,6,208,108,13,65,6,0,0,6,3,1,216,8,4,480,38,0,5,16,2,3,52,3,4,17794,6,2,37,17,2,7,5,5,14,3,1,12,4,0,3,3,6,2,6,71,0,4
ENSG00000170370,1,0,0,90,12,0,1,1,0,5,0,0,1,1,1,0,6,1,9,2,0,0,1,0,5,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,1,2,5,2,2,0,1,0,0,0
ENSG00000175766,3,0,30,16,0,1,3,0,0,4,0,0,0,1,3,1,0,1,1,0,12,0,3,5,1,3,0,0,6,6,4125,2,0,1,0,0,3,0,0,1,0,0,0,0,0,0,1,0,0,4
ENSG00000183166,2,1,0,8,8,3,1,0,0,0,0,14,1,3,2,0,2,12,0,1,3,1,0,6,4,0,4,0,3,1,15,4,0,0,0,0,1,15,0,1,0,0,1,5,0,0,1,1,3,1
ENSG00000242366,0,0,0,0,0,29,0,1,0,0,0,9,1123,0,3,1,1,0,0,1,0,0,2,0,34,345,2,7,1,2282,0,0,0,0,1,17,0,0,0,0,3,0,0,0,0,0,0,2,0,0
