,TCGA-55-A57B-01A-12R-A39D-07,TCGA-49-4512-01A-21R-1858-07,TCGA-62-A46Y-01A-11R-A24H-07,TCGA-91-8496-01A-11R-2403-07,TCGA-38-4630-01A-01R-1206-07,TCGA-38-6178-01A-11R-1755-07,TCGA-86-8075-01A-11R-2241-07,TCGA-44-2665-01A-01R-0946-07,TCGA-62-8397-01A-11R-2326-07,TCGA-86-8668-01A-11R-2403-07,TCGA-97-8552-01A-11R-2403-07,TCGA-78-7540-01A-11R-2066-07,TCGA-50-6673-01A-11R-1949-07,TCGA-38-4628-01A-01R-1206-07,TCGA-44-2661-01A-01R-1107-07,TCGA-67-6215-01A-11R-1755-07,TCGA-67-3772-01A-01R-0946-07,TCGA-97-8547-01A-11R-2403-07,TCGA-55-6986-01A-11R-1949-07,TCGA-86-8280-01A-11R-2287-07,TCGA-55-8087-01A-11R-2241-07,TCGA-86-A4P8-01A-11R-A24X-07,TCGA-05-5715-01A-01R-1628-07,TCGA-86-7953-01A-11R-2187-07,TCGA-55-8513-01A-11R-2403-07,TCGA-86-A4P7-01A-11R-A24X-07,TCGA-44-3919-01A-02R-1107-07,TCGA-J2-A4AE-01A-21R-A24H-07,TCGA-62-8395-01A-11R-2326-07,TCGA-99-8033-01A-11R-2241-07,TCGA-97-8177-01A-11R-2287-07,TCGA-86-7701-01A-11R-2170-07,TCGA-55-6980-01A-11R-1949-07,TCGA-86-7955-01A-11R-2187-07,TCGA-35-3615-01A-01R-0946-07,TCGA-86-8585-01A-11R-2403-07,TCGA-86-8076-01A-31R-2241-07,TCGA-69-7760-01A-11R-2170-07,TCGA-86-8279-01A-11R-2287-07,TCGA-55-7815-01A-11R-2170-07,TCGA-86-6562-01A-11R-1755-07,TCGA-05-5429-01A-01R-1628-07,TCGA-55-6978-01A-11R-1949-07,TCGA-86-8672-01A-21R-2403-07,TCGA-55-8206-01A-11R-2241-07,TCGA-55-8505-01A-11R-2403-07,TCGA-93-A4JP-01A-11R-A24X-07,TCGA-95-8039-01A-11R-2241-07,TCGA-50-5066-01A-01R-1628-07,TCGA-86-7713-01A-11R-2066-07
ENSG00000067646,0,2,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,3,0,1,0,2,0,0,1,0,3,257,442,808,1436,374,1168,274,531,531,171,424,1080,95,2236,335,1031,1035,193,1824
ENSG00000114374,1,3,2,2,1,0,4,1,0,1,4,1,0,0,0,1,1,0,0,6,2,4,0,1,1,1,0,4,1,6,6,384,535,1600,3635,1471,2161,599,797,935,203,261,1199,210,6093,541,1917,3598,167,5980
ENSG00000183878,0,1,4,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,12,0,1,0,0,1,0,0,0,2,3,2,297,455,645,1393,604,1308,391,514,541,175,464,815,92,4720,233,1231,1415,210,6839
ENSG00000198692,1,4,6,0,1,0,0,0,2,0,1,1,0,0,0,0,1,0,0,2,1,0,0,1,0,0,0,2,0,1,1,325,185,1361,1737,829,1446,578,790,781,207,529,1021,157,1198,334,1000,1946,435,907
ENSG00000129824,1,32,39,4,9,0,41,3,16,11,1,3,0,5,2,8,11,1,1,60,5,5,2,12,3,5,3,24,12,30,21,2241,6079,7937,47604,4238,28648,6109,7285,4661,2021,8325,5720,1446,18424,2630,4821,22594,3381,15928
ENSG00000067048,2,11,9,1,1,0,1,3,4,1,2,0,0,2,1,2,3,0,2,15,2,3,0,3,0,0,0,4,5,5,9,925,1164,2273,2868,2315,3576,1530,2736,1427,836,612,2953,452,9442,992,3372,3830,475,6936
ENSG00000012817,2,3,2,3,3,0,2,0,8,1,0,0,0,0,1,0,1,0,0,12,1,2,0,7,3,2,2,3,2,3,10,859,431,2763,3318,4803,3122,599,1819,1153,421,568,1848,682,4821,1022,3155,3973,290,4057
ENSG00000131002,0,8,7,3,1,0,0,0,1,3,1,0,0,0,0,1,0,0,2,8,1,4,0,1,0,1,0,3,1,3,6,686,203,1376,3187,1687,1858,1115,865,1341,197,616,1206,242,2925,555,1982,3382,468,2491
ENSG00000176728,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,11,12,181,490,227,239,109,212,63,13,110,67,8,232,55,118,497,15,208
ENSG00000099725,8,1,1,0,1,0,0,1,0,1,0,3,0,0,0,1,1,0,2,4,2,7,0,0,2,0,0,3,0,6,1,226,406,385,1190,539,669,153,487,227,111,178,669,131,1890,205,908,1093,86,1991
ENSG00000234854,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,523,0,0,0,0,61,1,2,2,0,0,0,0,0,1,2,0,0,2150
ENSG00000165246,0,2,1,0,0,0,0,2,1,0,1,0,19,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,1,1,148,136,114,122,58,395,220,236,348,166,41,533,73,1108,121,380,868,49,49
ENSG00000260197,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,35,24,25,78,49,62,29,32,27,16,9,61,16,118,13,158,142,6,68
ENSG00000262117,0,1,0,2,3,1,1,0,0,0,0,1,0,11,0,1,0,1,0,3,1,0,1,2,0,1,0,1,1,0,2,0,6,3413,0,586,0,0,25,0,0,1223,0,2,0,0,517,0,8,5
ENSG00000273906,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,21,27,5,275,2,100,146,190,28,2,6,8,1,449,62,87,67,0,505
ENSG00000206159,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,5,64,45,309,20,57,51,38,11,4,97,25,0,504,36,57,173,6,143
ENSG00000092377,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,6,0,131,0,28,12,32,8,1,2,3,0,435,16,32,22,1,165
ENSG00000241859,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,6,35,15,18,47,18,20,42,17,1,14,47,0,320,14,86,66,3,82
ENSG00000109132,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,2,15,2,80,0,5,0,134,55,1,0,0,0,0,0,1,0,0,1,1,0,2330
ENSG00000105141,4,0,0,1,0,0,0,0,0,0,0,2,14,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,2,2,0,3,7410,0,19,0,0,467,0,0,21,0,2,0,76,120,0,1,2
ENSG00000215580,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,29,3,1,28,124,33,3,4,16,4,1,27,13,35,3,20,42,22,7
ENSG00000227234,5,0,0,1,0,0,2,0,0,0,0,14,0,0,0,0,1,2,0,2,0,2,0,1,0,0,0,0,0,0,1,0,1,35,0,2660,0,0,0,0,0,0,2,2,0,1659,0,0,140,0
ENSG00000002745,2,4,6,0,13,3,9,7,3,1,11,9,0,5,40,4,7,8,4,30,2,2,1,14,8,13,13,20,6,4,13,9155,5,47,8,4,19,12,9,9,13,7,51,5,4,4,11,6,119,7
ENSG00000169297,0,0,1,0,0,3,46,0,0,0,0,0,0,0,5,6,0,0,0,19,0,0,0,4,0,0,0,0,0,0,1,1,0,4,137,0,27,0,2,0,1,0,25,969,0,304,5,0,565,1
ENSG00000260458,0,0,0,0,4,0,6,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,1,2,0,1,0,0,1,369,3,0,0,0,0,0,0,3,0,58,87,0,0,0
ENSG00000179914,7,3,40,71,99,2,6,3,5,12,83,60,352,194,152,80,22,3,908,20,14,150,510,33,36,145,13,32,12,6,100,4,13,2,28,8,67,3,14,11,47,43,6,2,96,4,66,27,5,12
ENSG00000229807,25101,7095,5959,2869,932,905,13332,4675,1614,7500,8214,813,2096,216,3538,10307,749,1522,1390,3050,14959,12667,348,10617,5534,12283,4806,7460,8569,2216,5604,0,3,1,7,3,281,28,15,1,6,0,6,0,4,6,4,16,0,1
ENSG00000154478,0,3,0,0,19,0,1,1,0,2,0,0,2,0,2,0,1,3,1,1,4,2,1,15079,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,2,1,0,2,1,0,6,1,2,0
ENSG00000166049,479,0,0,0,3,0,0,10,0,0,0,0,1949,0,0,0,0,0,0,0,0,0,4,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0
ENSG00000139219,6,13,2,1,116,18,38,480,0,6,6,0,2,208,5,1,4,5,1,54,1,6,3,4,0,3,3,5,16,216,7,1,4,2,0,7,6,5,14,0,12,5,6,3,3,4,3,17,2,71
ENSG00000170370,0,1,1,0,18806,1,9,1,0,0,0,0,1,12,0,1,6,4,0,1,1,0,1,4,2,0,0,0,0,1,2,1,0,0,0,0,2,0,0,2,0,0,1,5,2,1,0,0,0,0
ENSG00000175766,0,3,3,22,3,0,1,1,0,0,6,0,6,0,0,8,0,452,0,3,1,0,0,0,0,5,1,12,0,3,6,0,4,0,0,1,0,0,3,0,1,0,1,0,0,0,0,2,0,0
ENSG00000183166,14,1,0,0,818,1,0,12,0,0,3,0,1,8,1,0,2,2,4,2,3,14,1,5,1,6,1,3,1,2,2,0,1,0,3,0,0,0,1,0,1,0,1,1,5,0,15,4,0,1
ENSG00000242366,9,0,2,0,0,0,0,0,0,0,1,6,2282,0,0,111,1,241,0,0,0,0,1123,0,1,0,9,0,0,3,0,0,0,0,0,0,0,1,0,0,0,17,0,0,0,3,0,0,0,2
ENSG00000238269,1027,1,2,0,5,0,1,0,0,0,1,0,1,0,1,1,0,2,1,1,0,1,0,0,1,0,3,6,0,1,4,1,0,1,0,0,0,0,1,0,1,0,0,0,0,2,0,2,0,0
ENSG00000157851,0,0,0,2,2514,1,27,1,0,0,1,9,0,3,1,1,4,1,1,4,3,1,0,22,1,0,0,0,2,3,1,0,2,0,1,1,1,6,0,4,0,0,0,1,1,0,1,0,2,0
ENSG00000229847,0,3,0,3,10122,3,9,8,0,0,0,1,1,2,2,1,3,6,1,4,1,0,1,6,2,0,0,0,1,3,11,0,0,0,0,1,1,0,3,0,9,1,1,9,3,3,2,1,2,1
ENSG00000136110,0,7,2,4,29,1577,2,78388,1,1,119,5,1,1732,4,2,1602,0,1,8,4,25,18,40,0,103,0,0,2,0,15,1,0,0,1,0,27,493,14,2,1,2,0,0,19,1,6,3,4,1
