,TCGA-55-6982-01A-11R-1949-07,TCGA-62-8397-01A-11R-2326-07,TCGA-62-8402-01A-11R-2326-07,TCGA-49-4501-01A-01R-1206-07,TCGA-50-6597-01A-11R-1858-07,TCGA-38-4628-01A-01R-1206-07,TCGA-44-2661-01A-01R-1107-07,TCGA-97-A4M6-01A-11R-A24X-07,TCGA-55-6986-01A-11R-1949-07,TCGA-78-7540-01A-11R-2066-07,TCGA-50-6673-01A-11R-1949-07,TCGA-62-A46Y-01A-11R-A24H-07,TCGA-05-5715-01A-01R-1628-07,TCGA-71-8520-01A-11R-2403-07,TCGA-78-7143-01A-11R-2039-07,TCGA-86-8280-01A-11R-2287-07,TCGA-99-8033-01A-11R-2241-07,TCGA-86-8278-01A-11R-2287-07,TCGA-97-8552-01A-11R-2403-07,TCGA-67-6216-01A-11R-1755-07,TCGA-67-3772-01A-01R-0946-07,TCGA-86-A4P8-01A-11R-A24X-07,TCGA-97-8547-01A-11R-2403-07,TCGA-91-8496-01A-11R-2403-07,TCGA-44-3919-01A-02R-1107-07,TCGA-86-7953-01A-11R-2187-07,TCGA-05-4402-01A-01R-1206-07,TCGA-62-8395-01A-11R-2326-07,TCGA-91-8497-01A-11R-2403-07,TCGA-55-7816-01A-11R-2170-07,TCGA-86-A4P7-01A-11R-A24X-07,TCGA-55-8505-01A-11R-2403-07,TCGA-86-7713-01A-11R-2066-07,TCGA-86-7955-01A-11R-2187-07,TCGA-55-6980-01A-11R-1949-07,TCGA-55-6978-01A-11R-1949-07,TCGA-93-A4JP-01A-11R-A24X-07,TCGA-05-5429-01A-01R-1628-07,TCGA-35-3615-01A-01R-0946-07,TCGA-50-5066-01A-01R-1628-07,TCGA-86-8279-01A-11R-2287-07,TCGA-69-7760-01A-11R-2170-07,TCGA-86-6562-01A-11R-1755-07,TCGA-95-8039-01A-11R-2241-07,TCGA-55-7815-01A-11R-2170-07,TCGA-86-8672-01A-21R-2403-07,TCGA-55-8206-01A-11R-2241-07,TCGA-86-8076-01A-31R-2241-07,TCGA-86-7701-01A-11R-2170-07,TCGA-86-8585-01A-11R-2403-07
ENSG00000067646,0,0,0,0,0,0,1,0,0,0,0,1,0,0,3,2,0,0,0,0,1,3,0,0,0,1,0,1,0,3,2,335,1824,808,442,1080,1031,424,1436,193,531,274,171,1035,531,95,2236,1168,257,374
ENSG00000114374,0,0,1,1,0,0,0,1,0,1,0,2,0,0,2,6,6,0,4,0,1,4,0,2,0,1,2,1,0,3,1,541,5980,1600,535,1199,1917,261,3635,167,797,599,203,3598,935,210,6093,2161,384,1471
ENSG00000183878,0,2,1,0,0,0,0,0,0,0,0,4,0,0,0,12,3,0,0,0,0,1,0,1,0,0,0,2,0,2,0,233,6839,645,455,815,1231,464,1393,210,514,391,175,1415,541,92,4720,1308,297,604
ENSG00000198692,0,2,4,0,0,0,0,1,0,1,0,6,0,2,1,2,1,1,1,0,1,0,0,0,0,1,0,0,0,1,0,334,907,1361,185,1021,1000,529,1737,435,790,578,207,1946,781,157,1198,1446,325,829
ENSG00000129824,1,16,10,6,0,5,2,4,1,3,0,39,2,0,18,60,30,0,1,0,11,5,1,4,3,12,14,12,3,19,5,2630,15928,7937,6079,5720,4821,8325,47604,3381,7285,6109,2021,22594,4661,1446,18424,28648,2241,4238
ENSG00000067048,2,4,6,2,0,2,1,1,2,0,0,9,0,1,7,15,5,1,2,0,3,3,0,1,0,3,0,5,0,2,0,992,6936,2273,1164,2953,3372,612,2868,475,2736,1530,836,3830,1427,452,9442,3576,925,2315
ENSG00000012817,0,8,6,2,2,0,1,1,0,0,0,2,0,2,3,12,3,2,0,0,1,2,0,3,2,7,0,2,2,1,2,1022,4057,2763,431,1848,3155,568,3318,290,1819,599,421,3973,1153,682,4821,3122,859,4803
ENSG00000131002,0,1,2,0,0,0,0,5,2,0,0,7,0,0,1,8,3,0,1,1,0,4,0,3,0,1,0,1,0,4,1,555,2491,1376,203,1206,1982,616,3187,468,865,1115,197,3382,1341,242,2925,1858,686,1687
ENSG00000176728,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,55,208,181,12,67,118,110,490,15,212,109,13,497,63,8,232,239,11,227
ENSG00000099725,0,0,5,1,0,0,0,0,2,3,0,1,0,0,0,4,6,1,0,0,1,7,0,0,0,0,0,0,0,4,0,205,1991,385,406,669,908,178,1190,86,487,153,111,1093,227,131,1890,669,226,539
