,TCGA-71-8520-01A-11R-2403-07,TCGA-86-A4P7-01A-11R-A24X-07,TCGA-62-8397-01A-11R-2326-07,TCGA-55-8087-01A-11R-2241-07,TCGA-49-4501-01A-01R-1206-07,TCGA-50-6591-01A-11R-1755-07,TCGA-97-8177-01A-11R-2287-07,TCGA-05-4402-01A-01R-1206-07,TCGA-62-8394-01A-11R-2326-07,TCGA-78-7540-01A-11R-2066-07,TCGA-J2-A4AE-01A-21R-A24H-07,TCGA-86-8671-01A-11R-2403-07,TCGA-44-2661-01A-01R-1107-07,TCGA-91-8496-01A-11R-2403-07,TCGA-86-8278-01A-11R-2287-07,TCGA-38-4628-01A-01R-1206-07,TCGA-62-8402-01A-11R-2326-07,TCGA-49-AAQV-01A-11R-A39D-07,TCGA-67-6216-01A-11R-1755-07,TCGA-73-7499-01A-11R-2187-07,TCGA-99-8033-01A-11R-2241-07,TCGA-50-6673-01A-11R-1949-07,TCGA-86-8668-01A-11R-2403-07,TCGA-67-6215-01A-11R-1755-07,TCGA-44-3919-01A-02R-1107-07,TCGA-05-5715-01A-01R-1628-07,TCGA-38-4630-01A-01R-1206-07,TCGA-38-6178-01A-11R-1755-07,TCGA-55-7816-01A-11R-2170-07,TCGA-55-8513-01A-11R-2403-07,TCGA-86-8075-01A-11R-2241-07,TCGA-86-8279-01A-11R-2287-07,TCGA-86-7713-01A-11R-2066-07,TCGA-69-7760-01A-11R-2170-07,TCGA-55-6980-01A-11R-1949-07,TCGA-50-5066-01A-01R-1628-07,TCGA-86-8076-01A-31R-2241-07,TCGA-86-7701-01A-11R-2170-07,TCGA-05-5429-01A-01R-1628-07,TCGA-55-7815-01A-11R-2170-07,TCGA-86-8672-01A-21R-2403-07,TCGA-55-8505-01A-11R-2403-07,TCGA-35-3615-01A-01R-0946-07,TCGA-95-8039-01A-11R-2241-07,TCGA-86-8585-01A-11R-2403-07,TCGA-86-7955-01A-11R-2187-07,TCGA-93-A4JP-01A-11R-A24X-07,TCGA-55-8206-01A-11R-2241-07,TCGA-86-6562-01A-11R-1755-07,TCGA-55-6978-01A-11R-1949-07
ENSG00000067646,0,2,0,0,0,0,3,0,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,531,1824,274,442,193,1168,257,424,531,95,335,1436,1035,374,808,1031,2236,171,1080
ENSG00000114374,0,1,0,2,1,0,6,2,2,1,4,5,0,2,0,0,1,1,0,1,6,0,1,1,0,0,1,0,3,1,4,797,5980,599,535,167,2161,384,261,935,210,541,3635,3598,1471,1600,1917,6093,203,1199
ENSG00000183878,0,0,2,0,0,0,2,0,1,0,0,10,0,1,0,0,1,1,0,1,3,0,0,0,0,0,1,0,2,1,0,514,6839,391,455,210,1308,297,464,541,92,233,1393,1415,604,645,1231,4720,175,815
ENSG00000198692,2,0,2,1,0,0,1,0,3,1,2,2,0,0,1,0,4,0,0,0,1,0,0,0,0,0,1,0,1,0,0,790,907,578,185,435,1446,325,529,781,157,334,1737,1946,829,1361,1000,1198,207,1021
ENSG00000129824,0,5,16,5,6,0,21,14,10,3,24,59,2,4,0,5,10,18,0,13,30,0,11,8,3,2,9,0,19,3,41,7285,15928,6109,6079,3381,28648,2241,8325,4661,1446,2630,47604,22594,4238,7937,4821,18424,2021,5720
ENSG00000067048,1,0,4,2,2,0,9,0,6,0,4,10,1,1,1,2,6,3,0,3,5,0,1,2,0,0,1,0,2,0,1,2736,6936,1530,1164,475,3576,925,612,1427,452,992,2868,3830,2315,2273,3372,9442,836,2953
ENSG00000012817,2,2,8,1,2,1,10,0,3,0,3,12,1,3,2,0,6,2,0,7,3,0,1,0,2,0,3,0,1,3,2,1819,4057,599,431,290,3122,859,568,1153,682,1022,3318,3973,4803,2763,3155,4821,421,1848
ENSG00000131002,0,1,1,1,0,0,6,0,1,0,3,8,0,3,0,0,2,2,1,0,3,0,3,1,0,0,1,0,4,0,0,865,2491,1115,203,468,1858,686,616,1341,242,555,3187,3382,1687,1376,1982,2925,197,1206
ENSG00000176728,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,212,208,109,12,15,239,11,110,63,8,55,490,497,227,181,118,232,13,67
ENSG00000099725,0,0,0,2,1,0,1,0,0,3,3,3,0,0,1,0,5,4,0,0,6,0,1,1,0,0,1,0,4,2,0,487,1991,153,406,86,669,226,178,227,131,205,1190,1093,539,385,908,1890,111,669
ENSG00000234854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2150,1,0,0,61,523,0,2,0,1,0,0,0,0,2,0,0,0
ENSG00000165246,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,2,1,0,0,1,19,0,0,0,0,0,0,2,0,0,236,49,220,136,49,395,148,41,348,73,121,122,868,58,114,380,1108,166,533
ENSG00000260197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,32,68,29,24,6,62,35,9,27,16,13,78,142,49,25,158,118,16,61
ENSG00000262117,0,1,0,1,0,0,2,22,7,1,1,0,0,2,0,11,0,5,1,0,0,0,0,1,0,1,3,1,0,0,1,25,5,0,6,8,0,0,1223,0,2,0,0,0,586,3413,517,0,0,0
ENSG00000273906,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,190,505,146,27,0,100,21,6,28,1,62,275,67,2,5,87,449,2,8
ENSG00000206159,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,2,1,0,0,1,0,0,0,0,0,1,0,1,0,0,38,143,51,64,6,57,5,97,11,0,36,309,173,20,45,57,504,4,25
ENSG00000092377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,32,165,12,6,1,28,1,2,8,0,16,131,22,0,0,32,435,1,3
ENSG00000241859,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,42,82,20,35,3,18,6,14,17,0,14,18,66,47,15,86,320,1,47
ENSG00000109132,0,0,0,1,0,1,2,0,6,0,1,0,0,0,0,0,0,0,0,0,15,1,0,0,1,0,1,1,0,0,0,0,2330,1,0,0,55,80,0,0,1,0,0,1,134,5,1,0,0,0
ENSG00000105141,0,0,0,1,0,0,2,102,0,2,0,0,0,1,0,0,0,1,0,4,2,14,0,0,0,0,0,0,1,0,0,467,2,0,3,1,0,0,21,0,2,76,0,0,19,7410,120,0,0,0
ENSG00000215580,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,4,7,3,3,22,33,29,1,16,13,3,28,42,124,1,20,35,4,27
ENSG00000227234,1,0,0,0,0,0,1,5,0,14,0,2,0,1,0,0,0,3,1,1,0,0,0,0,0,0,0,0,25,0,2,0,0,0,1,140,0,0,0,0,2,1659,0,0,2660,35,0,0,0,2
ENSG00000002745,5,13,3,2,56,4,13,15,45,9,20,24,40,0,5,5,5,10,8,37,4,0,1,4,13,1,13,3,18,8,9,9,7,12,5,119,19,9155,7,9,5,4,8,6,4,47,11,4,13,51
ENSG00000169297,0,0,0,0,0,6,1,6,0,0,0,0,5,0,0,0,3,33,1,1,0,0,0,6,0,0,0,3,2,0,46,2,1,0,0,565,27,1,0,0,969,304,137,0,0,4,5,0,1,25
ENSG00000260458,0,0,0,0,0,1,0,0,4,0,0,0,0,0,2,0,1,0,0,0,2,2,0,0,0,1,4,0,0,0,6,0,0,0,0,0,3,1,0,0,3,58,1,0,369,0,87,0,0,0
ENSG00000179914,30,145,5,14,175,2,100,23,86,60,32,18,152,71,10,194,13,3,11,46,6,352,12,80,13,510,99,2,915200,36,6,14,12,3,13,5,67,4,43,11,2,4,28,27,8,2,66,96,47,6
ENSG00000229807,2305,12283,1614,14959,1323,7043,5604,2622,3670,813,7460,6118,3538,2869,15907,216,49582,10219,6918,1874,2216,2096,7500,10307,4806,348,932,905,14604,5534,13332,15,1,28,3,0,281,0,0,1,0,6,7,16,3,1,4,4,6,6
ENSG00000154478,0,0,0,4,0,0,1,0,0,0,0,3,2,0,1,0,102,0,0,0,0,2,2,0,0,1,19,0,7,0,1,1,0,0,0,2,0,0,1,0,2,0,0,1,0,0,6,1,2,0
ENSG00000166049,0,0,0,0,0,0,0,25,0,0,0,0,0,0,2,0,0,0,1,0,1,1949,0,0,1,4,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0
ENSG00000139219,125,3,0,1,52,37786,7,108,3,0,5,5,5,1,4,208,17794,37,1,0,216,2,6,1,3,3,116,18,6,0,38,14,71,5,4,2,6,1,5,0,3,4,0,17,7,2,3,3,12,6
ENSG00000170370,2,0,0,1,5,23,2,0,0,0,0,4,0,0,2,12,0,2,1,5,1,1,0,1,0,1,18806,1,90,2,9,0,0,0,0,0,2,1,0,2,5,1,0,0,0,0,0,2,0,1
ENSG00000175766,0,5,0,1,1,0,6,1,3,0,12,0,0,22,19,0,0,4125,2,4,3,6,0,8,1,0,3,0,16,0,1,3,0,0,4,0,0,0,0,0,0,0,0,2,1,0,0,0,1,1
ENSG00000183166,6,6,0,3,4,3600,2,3,0,0,3,1,1,0,3,8,0,15,0,0,2,1,0,0,1,1,818,1,8,1,0,1,1,0,1,0,0,0,0,0,1,0,3,4,0,0,15,5,1,1
ENSG00000242366,0,0,0,0,34,0,0,29,345,6,0,0,0,0,4,0,7,0,0,0,3,2282,0,111,9,1123,0,0,0,1,0,0,2,1,0,0,0,0,17,0,0,3,0,0,0,0,0,0,0,0
ENSG00000238269,0,0,0,0,0,0,4,168,1,0,6,1,1,0,0,0,0,1,0,1,1,1,0,1,3,0,5,0,0,1,1,1,0,0,0,0,0,1,0,0,0,2,0,2,0,1,0,0,1,0
ENSG00000157851,0,0,0,3,18,1463,1,1,2,9,0,1,1,2,1,3,0,2,1,3,3,0,0,1,0,0,2514,1,0,1,27,0,0,6,2,2,1,0,0,4,1,0,1,0,1,0,1,1,0,0
ENSG00000229847,4,0,0,1,7,59,11,0,2,1,0,1,2,3,2,2,0,4,1,11,3,1,0,1,0,1,10122,3,246,2,9,3,1,0,0,2,1,0,1,0,9,3,0,1,1,0,2,3,9,1
ENSG00000136110,1,103,1,4,126,517,15,6,2,5,0,1,4,4,27,1732,1,96,57,3,0,1,1,2,0,18,29,1577,0,0,2,14,1,493,0,4,27,1,2,2,0,1,1,3,0,0,6,19,1,0
ENSG00000177108,8,5,0,0,12,14,1,0,5,0,0,0,0,0,2,28,992,0,0,0,0,2,0,1,0,0,17,2,0,2,1,1,1,0,0,0,1,1,0,0,0,1,2,1,0,0,0,1,1,1
