,TCGA-55-8511-01A-11R-2403-07,TCGA-MP-A4T9-01A-11R-A24X-07,TCGA-55-A494-01A-11R-A24X-07,TCGA-38-4626-01A-01R-1206-07,TCGA-50-8457-01A-11R-2326-07,TCGA-73-4666-01A-01R-1206-07,TCGA-69-7980-01A-11R-2187-07,TCGA-55-A48Z-01A-12R-A24X-07,TCGA-55-7283-01A-11R-2039-07,TCGA-69-7974-01A-11R-2187-07,TCGA-55-8204-01A-11R-2241-07,TCGA-86-7954-01A-11R-2187-07,TCGA-49-AARQ-01A-11R-A41B-07,TCGA-73-4662-01A-01R-1206-07,TCGA-44-8117-01A-11R-2241-07,TCGA-55-6971-01A-11R-1949-07,TCGA-MP-A4T7-01A-11R-A24X-07,TCGA-44-6145-01A-11R-1755-07,TCGA-91-6849-01A-11R-1949-07,TCGA-50-6594-01A-11R-1755-07,TCGA-78-7147-01A-11R-2039-07,TCGA-99-8025-01A-11R-2241-07,TCGA-91-6835-01A-11R-1858-07,TCGA-44-A47A-01A-21R-A24H-07,TCGA-55-7574-01A-11R-2039-07,TCGA-62-A46S-01A-11R-A24H-07,TCGA-MP-A4TI-01A-21R-A24X-07,TCGA-64-5779-01A-01R-1628-07,TCGA-05-4415-01A-22R-1858-07,TCGA-55-6972-01A-11R-1949-07,TCGA-78-7162-01A-21R-2066-07,TCGA-78-7150-01A-21R-2039-07,TCGA-64-1680-01A-02R-0946-07,TCGA-55-8085-01A-11R-2241-07,TCGA-78-7148-01A-11R-2039-07,TCGA-55-A48Y-01A-11R-A24H-07,TCGA-86-8673-01A-11R-2403-07,TCGA-50-5946-01A-11R-1755-07,TCGA-78-7160-01A-11R-2039-07,TCGA-44-6778-01A-11R-1858-07,TCGA-55-7576-01A-11R-2066-07,TCGA-MN-A4N1-01A-11R-A24X-07,TCGA-35-5375-01A-01R-1628-07,TCGA-91-A4BC-01A-11R-A24H-07,TCGA-55-6712-01A-11R-1858-07,TCGA-78-7537-01A-11R-2066-07,TCGA-91-6829-01A-21R-1858-07,TCGA-44-7660-01A-11R-2066-07,TCGA-55-8090-01A-11R-2241-07,TCGA-38-4629-01A-02R-1206-07
ENSG00000114374,0,1,0,0,2,0,2,0,0,0,5,0,0,0,2,0,0,0,0,1,1,1,3,0,2,1051,1037,584,1553,1193,1778,1003,112,400,1287,730,1448,182,1300,1106,819,2555,63,1997,925,2646,214,842,1843,714
ENSG00000131002,0,2,0,0,2,1,0,0,0,0,3,2,0,0,0,0,0,0,0,1,0,0,2,0,0,3350,1392,1785,1335,1232,951,586,81,536,967,1602,1461,198,1196,1217,725,3910,73,3336,151,2297,169,1472,1589,666
ENSG00000012817,0,5,1,2,2,0,1,1,0,2,5,0,1,0,2,0,1,0,1,0,2,0,1,0,3,2775,2563,1922,2542,1382,2094,1289,125,1177,1879,1808,1902,460,1813,1974,1521,6138,105,5316,825,3785,423,1890,2413,974
ENSG00000183878,1,0,0,0,1,0,0,0,0,0,3,1,0,1,0,0,0,0,0,1,0,0,1,0,1,872,552,680,912,527,856,394,76,299,716,496,798,95,856,702,674,1540,55,822,590,1119,129,781,926,570
ENSG00000273906,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,54,130,2,1,106,2,9,5,91,0,0,0,18,15,13,457,0,253,7,136,0,552,114,72
ENSG00000176728,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,48,86,51,45,155,110,63,5,15,130,162,448,6,84,46,58,658,5,277,48,427,15,110,177,75
ENSG00000067646,0,1,0,0,0,0,0,0,0,0,5,2,1,0,0,1,0,0,0,0,0,0,0,0,1,682,376,446,1086,15,1006,774,76,218,861,707,54,70,738,547,639,882,68,567,567,887,142,416,712,846
ENSG00000198692,2,0,0,0,1,0,0,0,0,0,2,1,0,1,0,2,0,0,0,2,1,0,0,0,2,1191,741,572,2743,1021,1201,877,81,368,1072,836,1354,218,1053,866,635,2087,121,916,177,1271,107,823,1246,1386
ENSG00000067048,0,1,0,0,3,0,0,1,4,0,5,3,1,0,1,1,1,1,2,0,1,0,2,0,1,2191,2225,1945,5566,877,2614,2226,208,1280,1795,1696,2163,594,2401,2789,1706,3441,223,3490,1543,2094,848,1895,2850,2799
ENSG00000260197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,109,52,62,33,48,21,5,42,42,48,54,10,42,67,30,160,4,129,20,100,14,69,83,16
ENSG00000129824,0,2,1,2,4,0,0,4,1,1,22,3,6,0,5,0,10,0,2,6,5,1,5,0,1,7459,6099,2789,14854,301,18025,6166,1090,2431,8016,9462,941,957,6017,4591,8636,1635,1577,14010,1466,15390,1608,1312,3653,27886
