,TCGA-44-7672-01A-11R-2066-07,TCGA-78-8662-01A-11R-2403-07,TCGA-NJ-A55O-01A-11R-A262-07,TCGA-MP-A4TA-01A-21R-A24X-07,TCGA-44-2659-01A-01R-0946-07,TCGA-50-6595-01A-12R-1858-07,TCGA-44-6779-01A-11R-1858-07,TCGA-69-A59K-01A-11R-A262-07,TCGA-MP-A4T9-01A-11R-A24X-07,TCGA-64-5781-01A-01R-1628-07,TCGA-67-6217-01A-11R-1755-07,TCGA-95-A4VN-01A-11R-A262-07,TCGA-55-8510-01A-11R-2403-07,TCGA-49-AARN-01A-21R-A41B-07,TCGA-44-6145-01A-11R-1755-07,TCGA-69-7980-01A-11R-2187-07,TCGA-05-4430-01A-02R-1206-07,TCGA-55-8514-01A-11R-2403-07,TCGA-62-A46V-01A-11R-A24H-07,TCGA-91-6836-01A-21R-1858-07,TCGA-05-4250-01A-01R-1107-07,TCGA-97-A4M3-01A-11R-A24X-07,TCGA-64-1681-01A-11R-2066-07,TCGA-53-7626-01A-12R-2066-07,TCGA-50-5931-01A-11R-1755-07,TCGA-44-6148-01A-11R-1755-07,TCGA-86-8281-01A-11R-2287-07,TCGA-NJ-A4YG-01A-22R-A262-07,TCGA-05-4432-01A-01R-1206-07,TCGA-55-6968-01A-11R-1949-07,TCGA-44-2666-01A-01R-A278-07,TCGA-78-7154-01A-11R-2039-07,TCGA-69-8255-01A-11R-2287-07,TCGA-73-4677-01A-01R-1206-07,TCGA-95-7944-01A-11R-2187-07,TCGA-62-A46P-01A-11R-A24H-07,TCGA-50-5072-01A-21R-1858-07,TCGA-35-5375-01A-01R-1628-07,TCGA-78-7150-01A-21R-2039-07,TCGA-05-4397-01A-01R-1206-07,TCGA-62-A470-01A-11R-A24H-07,TCGA-69-7763-01A-11R-2170-07,TCGA-91-6831-01A-11R-1858-07,TCGA-05-4244-01A-01R-1107-07,TCGA-97-A4M7-01A-11R-A24X-07,TCGA-69-8254-01A-11R-2287-07,TCGA-55-6983-01A-11R-1949-07,TCGA-53-A4EZ-01A-12R-A24X-07,TCGA-86-A4D0-01A-11R-A24H-07,TCGA-38-4632-01A-01R-1755-07
ENSG00000114374,1,1,0,1,2,0,0,7,1,9,0,0,0,80,0,2,0,0,0,2,1,3,0,0,1,1770,2392,942,1429,901,4132,1123,2007,2595,1343,69,1273,63,1003,2755,825,1142,403,352,3508,3873,1946,161,990,240
ENSG00000131002,0,1,0,0,0,0,0,1,2,18,0,1,0,158,0,0,0,0,4,0,0,2,0,0,2,1349,1715,2820,1255,1134,3411,864,4726,1224,2151,116,881,73,586,4314,2976,1314,223,446,5076,4532,1905,278,3654,418
ENSG00000012817,0,2,2,0,1,0,0,0,5,10,0,0,0,199,0,1,0,0,2,1,1,5,2,2,1,2606,3690,2473,2253,1403,2628,862,6418,3125,2258,267,1899,105,1289,10150,1491,2616,425,949,6694,7717,3067,564,2381,262
ENSG00000183878,1,0,1,2,0,0,0,2,0,7,2,0,0,85,0,0,0,1,2,0,0,0,1,1,1,1391,840,703,1716,683,2832,498,1635,1991,705,59,729,55,394,4683,526,1223,648,238,1507,2329,1017,92,1106,229
ENSG00000273906,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,245,81,129,170,0,41,343,134,91,0,3,201,0,2,7,257,75,229,6,152,125,172,632,882,6
ENSG00000176728,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,232,152,204,197,76,313,72,202,325,145,6,62,5,63,860,147,142,10,29,218,233,213,10,91,59
ENSG00000067646,0,0,0,1,0,0,0,2,1,10,1,0,0,39,0,0,0,0,2,0,0,3,1,0,0,699,962,410,905,1020,1578,556,1805,1696,1854,31,867,68,774,1517,459,973,731,181,844,1538,1213,1759,671,567
ENSG00000198692,1,0,1,0,0,0,0,1,0,10,1,0,0,91,0,0,0,0,1,0,0,1,0,0,0,911,1203,715,2282,1289,5876,1239,2235,2309,1210,85,1515,121,877,11121,596,1057,193,209,1257,684,1512,116,2331,468
ENSG00000067048,1,3,3,0,1,0,1,5,1,35,3,0,3,175,1,0,0,4,3,1,0,1,1,1,1,3855,1371,1536,3812,2347,3234,1644,6482,4084,3218,225,2777,223,2226,8832,1236,2266,2094,957,3941,6616,2819,401,2774,652
ENSG00000260197,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,92,98,92,42,105,66,23,101,80,72,2,54,4,21,232,62,82,5,20,195,108,85,12,83,12
