,TCGA-44-2655-01A-01R-0946-07,TCGA-44-5645-01A-01R-A278-07,TCGA-44-4112-01A-01R-1107-07,TCGA-55-8205-01A-11R-2241-07,TCGA-49-4505-01A-01R-1206-07,TCGA-L9-A444-01A-21R-A24H-07,TCGA-97-7554-01A-11R-2039-07,TCGA-55-7573-01A-11R-2039-07,TCGA-50-6594-01A-11R-1755-07,TCGA-91-6836-01A-21R-1858-07,TCGA-49-AARO-01A-12R-A41B-07,TCGA-MP-A4TJ-01A-51R-A262-07,TCGA-38-4625-01A-01R-1206-07,TCGA-86-7714-01A-12R-2170-07,TCGA-97-8172-01A-11R-2287-07,TCGA-49-4487-01A-21R-1858-07,TCGA-62-A46V-01A-11R-A24H-07,TCGA-95-7043-01A-11R-1949-07,TCGA-55-8616-01A-11R-2403-07,TCGA-J2-A4AG-01A-11R-A24H-07,TCGA-73-4666-01A-01R-1206-07,TCGA-55-8506-01A-11R-2403-07,TCGA-78-7159-01A-11R-2039-07,TCGA-64-1679-01A-21R-2066-07,TCGA-73-4658-01A-01R-1755-07,TCGA-05-4424-01A-22R-1858-07,TCGA-35-4123-01A-01R-1107-07,TCGA-05-5428-01A-01R-1628-07,TCGA-55-A490-01A-11R-A466-07,TCGA-44-A47B-01A-11R-A24H-07,TCGA-MP-A4SW-01A-21R-A24X-07,TCGA-97-8171-01A-11R-2287-07,TCGA-55-8089-01A-11R-2241-07,TCGA-55-6712-01A-11R-1858-07,TCGA-91-6831-01A-11R-1858-07,TCGA-50-5939-01A-11R-1628-07,TCGA-MP-A4SY-01A-21R-A24X-07,TCGA-05-4410-01A-21R-1858-07,TCGA-86-8669-01A-11R-2403-07,TCGA-97-8179-01A-11R-2287-07,TCGA-44-7671-01A-11R-2066-07,TCGA-69-7763-01A-11R-2170-07,TCGA-93-A4JQ-01A-11R-A24X-07,TCGA-62-A471-01A-12R-A24H-07,TCGA-78-7162-01A-21R-2066-07,TCGA-62-8398-01A-11R-2326-07,TCGA-78-8640-01A-11R-2403-07,TCGA-69-7978-01A-11R-2187-07,TCGA-78-7156-01A-11R-2039-07,TCGA-55-6983-01A-11R-1949-07
ENSG00000114374,2,2,2,1,229,1,1,0,1,2,0,0,3,1,3,0,0,0,1,1,0,0,1,2,0,298,333,86,78,1974,440,3083,990,925,403,710,1181,594,1201,428,1734,1142,2028,188,1778,427,1034,803,2515,1946
ENSG00000131002,0,0,3,1,344,1,1,0,1,0,2,0,0,4,1,0,4,0,4,1,1,0,0,1,0,300,532,177,86,2032,706,9352,2109,151,223,422,1848,378,3467,420,895,1314,2839,184,951,266,983,885,2348,1905
ENSG00000012817,0,2,0,3,575,0,3,1,0,1,0,1,0,0,2,0,2,1,13,3,0,0,0,0,0,468,396,120,315,3412,1729,6540,1581,825,425,1173,1867,543,3911,775,2421,2616,4630,426,2094,915,1959,1924,3066,3067
ENSG00000183878,0,1,0,0,275,0,1,0,1,0,0,0,1,0,2,0,2,0,4,0,0,0,0,0,0,311,297,94,81,1487,253,2432,685,590,648,500,635,436,1677,236,705,1223,1272,106,856,256,523,518,1104,1017
ENSG00000273906,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,0,0,0,226,4,24,17,7,229,11,92,9,722,25,37,75,17,3,106,5,3,2,21,172
ENSG00000176728,0,0,0,0,44,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,10,25,13,4,395,27,82,116,48,10,47,100,10,234,43,79,142,164,12,110,16,123,24,189,213
ENSG00000067646,0,1,2,0,313,0,3,2,0,0,0,2,1,0,0,1,2,1,2,1,0,2,0,1,0,193,366,119,36,840,184,1059,523,567,731,808,334,384,924,157,761,973,984,58,1006,255,84,363,866,1213
ENSG00000198692,0,0,0,2,583,1,2,0,2,0,0,0,1,0,2,1,1,0,3,3,0,1,0,0,0,249,500,162,98,1002,289,1484,992,177,193,660,488,168,1031,217,1289,1057,969,90,1201,171,2277,515,1174,1512
ENSG00000067048,4,2,2,3,1543,0,3,0,0,1,0,2,2,5,1,3,3,0,5,1,0,0,0,0,1,1104,822,253,365,3948,974,5495,2140,1543,2094,2718,2253,1363,3229,1007,2246,2266,3365,492,2614,1207,2103,2036,2397,2819
ENSG00000260197,0,0,0,0,13,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,15,1,0,106,35,79,51,20,5,23,67,19,38,28,35,82,192,6,48,13,46,35,139,85
ENSG00000129824,4,1,13,13,6690,1,4,4,6,9,4,2,0,3,27,4,6,1,16,11,0,5,0,5,0,2411,4713,1846,791,13733,2160,52863,6235,1466,6249,7643,6758,2942,17206,2282,16910,9646,10570,1096,18025,2190,1468,3723,20750,18096
ENSG00000099725,2,0,2,1,155,1,3,0,0,0,1,1,10,0,15,0,1,0,0,0,0,0,0,0,0,118,124,49,80,1296,371,3467,564,477,356,182,1005,295,563,215,260,323,1661,203,278,192,332,532,639,571
ENSG00000206159,1,1,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,0,0,45,3,597,6,4,85,3,57,20,178,10,108,43,64,7,105,3,35,4,222,196
ENSG00000164816,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ENSG00000165246,0,0,0,1,208,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,17,0,174,137,35,35,460,58,70,230,77,437,358,329,77,531,113,164,179,447,49,228,172,80,226,50,1030
ENSG00000092377,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,65,1,21,3,1,72,3,21,4,193,2,15,20,6,0,26,4,0,5,10,67
ENSG00000231535,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,14,4,9,17,8,40,23,8,4,17,4,11,28,4,23,18,28,2,20,8,1,9,12,33
ENSG00000215580,0,0,1,0,13,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,35,2,0,80,26,11,55,8,3,3,94,11,20,6,54,10,93,3,7,15,6,51,11,28
ENSG00000241859,0,0,0,1,17,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,7,7,4,6,100,6,47,7,68,70,13,23,26,14,11,15,76,43,2,13,4,75,18,4,32
ENSG00000131482,1,0,1,1,0,0,1,2,0,1,0,1,3,0,1,0,1,2,1,0,0,0,0,0,1,2,0,0,7,0,1,2,1,0,0,0,1,0,0,0,0,0,0,1,0,14,0,1,0,0
ENSG00000267793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,21,2,185,28,0,0,2,32,3,16,6,4,8,44,2,4,1,7,8,10,10
ENSG00000239893,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,4,0,1,0,1,4,12,3,1,0,1,0,0,0,3
ENSG00000081051,82,1,3,1,3,1,2,1,0,1,0,0,1,0,0,0,1,2,0,0,2,0,1,4,0,0,0,0,3,1,4,1,1,0,0,2,1,0,0,20,28,0,7,3,6,2,3,0,15,1
ENSG00000233070,0,0,1,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,2,6,10,5,8,18,1,8,11,5,13,6,1,4,17,1,5,1,2,7,5,16
ENSG00000168757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
ENSG00000204941,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,2,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,7,6,0,0,2,0,0,0
ENSG00000122585,0,0,1,0,1,0,0,4,0,1,0,0,0,0,0,5,0,1,3,49,0,0,0,1,0,3,0,0,0,0,0,0,0,0,27,0,0,0,0,0,1,0,16,0,0,0,21,0,1,0
ENSG00000233052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ENSG00000254647,0,0,0,1,0,0,0,1,0,1,38,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ENSG00000229807,3518,6879,424,4512,1,9441,1378,4795,5270,684,5704,5057,828,2505,9899,1003,1117,4572,2689,6483,2837,3155,5158,1300,313,0,0,0,3832,28,0,1,19,0,10,1,2,0,6,2,3,6,1204,1,9,3,5,5,1,5
ENSG00000244468,0,4,0,0,0,1,2,1,0,0,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,1,0,0,0
ENSG00000159516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,2,0,1,0,0,0,0,0,11,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,2,0,1
ENSG00000105198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000124467,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ENSG00000242221,1,1,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
ENSG00000231924,0,0,0,0,2,0,11,1,1,0,97,0,0,0,0,0,1,0,0,0,2,2,0,0,7,0,16,0,0,0,1,0,0,15,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
ENSG00000203786,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,2,0,1,0,0
ENSG00000170162,0,0,0,1,0,0,1,0,0,0,2,0,71172,0,2,5,2,0,0,0,4,0,0,1,0,0,0,0,0,1,0,0,0,0,2,0,4,0,0,3,0,0,2,1112,0,0,0,0,0,0
ENSG00000203857,5,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,1,25,1,6,0,3,0,1,0,0,0,0,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1
ENSG00000175535,0,0,1,0,1,0,1,0,0,0,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,8,0,0,0,0,0,0,0,0,0
ENSG00000243137,2,0,0,1,0,1,0,0,0,0,9,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,1,0,0,11,1,0,0,1,0,3,38,0,1,17,0,0,1
ENSG00000236731,1,2,4,0,2,0,0,0,1,0,0,1,0,3,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0
