,TCGA-50-5942-01A-21R-1755-07,TCGA-86-8074-01A-11R-2241-07,TCGA-78-7159-01A-11R-2039-07,TCGA-44-7670-01A-11R-2066-07,TCGA-55-8299-01A-11R-2287-07,TCGA-91-6835-01A-11R-1858-07,TCGA-69-7973-01A-11R-2187-07,TCGA-93-7347-01A-11R-2187-07,TCGA-86-7714-01A-12R-2170-07,TCGA-44-2659-01A-01R-0946-07,TCGA-91-6836-01A-21R-1858-07,TCGA-05-4405-01A-21R-1858-07,TCGA-67-6217-01A-11R-1755-07,TCGA-50-8457-01A-11R-2326-07,TCGA-78-7220-01A-11R-2039-07,TCGA-50-5941-01A-11R-1755-07,TCGA-49-6744-01A-11R-1858-07,TCGA-J2-8194-01A-11R-2241-07,TCGA-MP-A4TA-01A-21R-A24X-07,TCGA-78-7158-01A-11R-2039-07,TCGA-78-7161-01A-11R-2039-07,TCGA-NJ-A4YF-01A-12R-A262-07,TCGA-55-8621-01A-11R-2403-07,TCGA-95-7043-01A-11R-1949-07,TCGA-44-A47G-01A-21R-A24H-07,TCGA-55-1594-01A-01R-0946-07,TCGA-86-A4D0-01A-11R-A24H-07,TCGA-78-8640-01A-11R-2403-07,TCGA-44-6146-01A-11R-A278-07,TCGA-55-A4DG-01A-11R-A24H-07,TCGA-91-6829-01A-21R-1858-07,TCGA-73-A9RS-01A-11R-A41B-07,TCGA-93-8067-01A-11R-2287-07,TCGA-86-8669-01A-11R-2403-07,TCGA-05-4432-01A-01R-1206-07,TCGA-91-6831-01A-11R-1858-07,TCGA-05-4384-01A-01R-1755-07,TCGA-73-4677-01A-01R-1206-07,TCGA-55-6972-01A-11R-1949-07,TCGA-86-7711-01A-11R-2066-07,TCGA-55-1592-01A-01R-0946-07,TCGA-49-AAR2-01A-11R-A39D-07,TCGA-MN-A4N5-01A-11R-A24X-07,TCGA-78-7633-01A-11R-2066-07,TCGA-78-8660-01A-11R-2403-07,TCGA-MP-A4TD-01A-32R-A262-07,TCGA-62-A472-01A-11R-A24H-07,TCGA-93-A4JQ-01A-11R-A24X-07,TCGA-44-7662-01A-11R-2066-07,TCGA-L9-A7SV-01A-11R-A39D-07
ENSG00000114374,0,1,1,1,1,3,0,0,1,2,2,0,0,2,0,0,1,0,1,2,2,1,3,0,1,227,990,1034,797,2436,214,76,3698,1201,1429,403,1568,2595,1193,303,2511,151,534,3165,857,1403,203,2028,403,155
ENSG00000131002,0,1,0,0,0,2,0,0,4,0,0,0,0,2,2,2,0,0,0,0,0,0,2,0,2,281,3654,983,919,3331,169,71,6259,3467,1255,223,1206,1224,1232,299,3051,347,571,1651,1175,2120,296,2839,603,193
ENSG00000012817,0,4,0,1,0,1,2,0,0,1,1,1,0,2,1,0,2,0,0,2,1,0,8,1,1,588,2381,1959,1010,5010,423,232,7291,3911,2253,425,2153,3125,1382,671,6354,896,1286,3647,2238,3705,467,4630,1484,494
ENSG00000183878,0,0,0,0,1,1,0,0,0,0,0,0,2,1,1,2,0,1,2,3,0,0,1,0,0,210,1106,523,1472,1589,129,48,2591,1677,1716,648,853,1991,527,215,1869,116,315,1138,520,789,96,1272,357,88
ENSG00000273906,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,882,3,4,8,0,1,425,722,170,229,33,91,1,1,899,4,6,179,33,245,2,17,1,0
ENSG00000176728,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,5,91,123,124,347,15,7,617,234,197,10,34,325,155,13,404,14,19,296,137,158,14,164,31,8
ENSG00000067646,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,2,1,0,141,671,84,941,822,142,40,1769,924,905,731,640,1696,15,255,2526,50,187,1448,485,306,65,984,337,62
ENSG00000198692,1,2,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,1,0,3,0,0,193,2331,2277,436,1200,107,44,3863,1031,2282,193,617,2309,1021,327,2431,207,160,2133,641,1021,109,969,473,106
ENSG00000067048,0,3,0,0,2,2,0,0,5,1,1,0,3,3,5,2,2,1,0,4,3,0,3,0,1,691,2774,2103,1786,3993,848,193,5904,3229,3812,2094,1801,4084,877,1328,4831,352,862,3680,1880,2221,362,3365,1728,392
ENSG00000260197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,83,46,8,204,14,1,123,38,42,5,43,80,33,4,134,20,42,119,41,58,16,192,23,12
ENSG00000129824,0,8,0,0,1,5,0,0,3,5,9,7,8,4,0,13,5,0,2,9,5,0,18,1,7,1390,17620,1468,2058,8853,1608,399,27828,17206,5472,6249,6513,34475,301,1959,13273,1326,1813,26477,7185,9628,896,10570,3359,697
ENSG00000099725,0,1,0,2,3,0,9,1,0,1,0,3,1,1,1,1,1,3,0,0,8,0,0,0,2,137,976,332,257,2027,98,35,924,563,493,356,893,316,12,74,1283,163,346,298,452,940,157,1661,376,130
ENSG00000206159,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,3,112,35,41,52,2,0,300,178,171,85,32,244,195,3,321,3,14,325,54,151,0,64,3,2
ENSG00000164816,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,586,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000165246,0,1,0,0,0,2,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,78,496,80,66,103,300,15,1279,531,520,437,113,104,12,209,267,51,52,170,57,454,25,447,416,40
ENSG00000092377,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,173,0,7,1,0,0,99,193,80,72,18,56,0,0,214,0,2,33,15,43,1,6,0,0
ENSG00000231535,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,1,104,8,0,1,127,28,11,4,25,79,0,5,48,0,3,16,6,23,0,28,8,1
ENSG00000215580,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,16,6,3,37,2,8,15,20,16,3,11,10,26,3,124,16,9,18,111,39,19,93,19,10
ENSG00000241859,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,5,32,75,12,144,4,0,46,14,43,70,64,18,13,2,141,2,5,8,1,40,1,43,6,2
ENSG00000131482,0,0,0,0,1,0,2,0,0,2,1,0,0,0,82,0,1,0,0,1,3,0,0,2,4,1,2,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,3
ENSG00000267793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,7,3,40,1,0,25,16,7,0,11,8,2,4,31,1,7,6,6,15,2,44,7,0
ENSG00000239893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,244,0,0,0,1,3,0,1,0,0,0,0,0,0,0,3,0,0
ENSG00000081051,1,37,1,32,0,0,1,1,0,2,1,0,0,0,12,0,0,14,0,2,0,0,0,2,5,41,1,3,0,0,0,0,7,0,0,0,16,5,4,8,5,1,0,2,3,0,0,7,0,1
ENSG00000233070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,28,1,0,1,4,13,11,1,10,16,0,2,25,2,1,4,2,2,3,17,2,2
ENSG00000168757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,152,0,0,0,0,0,0,6,0,0
ENSG00000204941,1,0,0,56,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,7,0,2,0,4,0,0,0,0,1,1,0,1,0,0,2,0,0,0,0,0,0,7,8,0
ENSG00000122585,0,0,0,58,0,23,0,2,0,5,1,0,342,0,10,0,0,0,1,0,0,0,1,1,0,153,1,21,1,2,4,0,1,0,24,27,4,0,0,0,19,4,1,0,0,0,1,16,0,0
ENSG00000233052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
