,TCGA-50-5942-01A-21R-1755-07,TCGA-55-7283-01A-11R-2039-07,TCGA-44-6774-01A-21R-1858-07,TCGA-J2-A4AD-01A-11R-A24H-07,TCGA-55-8621-01A-11R-2403-07,TCGA-69-7974-01A-11R-2187-07,TCGA-44-A4SU-01A-11R-A24X-07,TCGA-44-5645-01A-01R-A278-07,TCGA-44-3396-01A-01R-1206-07,TCGA-05-4425-01A-01R-1755-07,TCGA-55-A48X-01A-11R-A24H-07,TCGA-78-7161-01A-11R-2039-07,TCGA-55-6981-01A-11R-1949-07,TCGA-44-2657-01A-01R-1107-07,TCGA-4B-A93V-01A-11R-A39D-07,TCGA-73-7498-01A-12R-2187-07,TCGA-78-7153-01A-11R-2039-07,TCGA-55-8205-01A-11R-2241-07,TCGA-55-6543-01A-11R-1755-07,TCGA-49-4506-01A-01R-1206-07,TCGA-44-6775-01A-11R-A278-07,TCGA-53-7624-01A-11R-2066-07,TCGA-49-AARO-01A-12R-A41B-07,TCGA-05-4427-01A-21R-1858-07,TCGA-95-7948-01A-11R-2187-07,TCGA-55-1594-01A-01R-0946-07,TCGA-55-8085-01A-11R-2241-07,TCGA-38-4632-01A-01R-1755-07,TCGA-MN-A4N1-01A-11R-A24X-07,TCGA-62-A472-01A-11R-A24H-07,TCGA-78-7148-01A-11R-2039-07,TCGA-44-7669-01A-21R-2066-07,TCGA-35-4123-01A-01R-1107-07,TCGA-05-4433-01A-22R-1858-07,TCGA-05-4395-01A-01R-1206-07,TCGA-64-1676-01A-01R-0946-07,TCGA-78-8660-01A-11R-2403-07,TCGA-55-7903-01A-11R-2170-07,TCGA-05-4426-01A-01R-1206-07,TCGA-50-7109-01A-11R-2039-07,TCGA-78-7167-01A-11R-2066-07,TCGA-78-7542-01A-21R-2066-07,TCGA-55-A490-01A-11R-A466-07,TCGA-55-7227-01A-11R-2039-07,TCGA-44-A4SS-01A-11R-A24X-07,TCGA-38-A44F-01A-11R-A24H-07,TCGA-55-6975-01A-11R-1949-07,TCGA-50-5939-01A-11R-1628-07,TCGA-05-4396-01A-21R-1858-07,TCGA-95-7562-01A-11R-2241-07
ENSG00000114374,0,0,0,1,3,0,1,2,0,1,1,2,1,0,0,0,1,1,0,0,6,0,0,1,0,227,400,240,2555,203,1287,828,333,354,917,470,857,1041,298,411,6833,310,78,1093,1553,1205,519,710,1446,947
ENSG00000131002,0,0,0,5,2,0,1,0,0,0,0,0,0,2,2,0,0,1,0,1,2,0,2,0,0,281,536,418,3910,296,967,793,532,270,2140,1090,1175,567,195,928,7869,806,86,1656,2234,1717,563,422,1066,475
ENSG00000012817,0,0,0,4,8,2,2,2,0,1,1,1,1,1,5,1,1,3,1,1,4,0,0,0,1,588,1177,262,6138,467,1879,1569,396,474,2732,546,2238,1180,484,1736,13479,1222,315,1541,2651,2409,826,1173,2264,905
ENSG00000183878,0,0,0,2,1,0,0,1,0,0,0,0,2,0,1,0,1,0,0,1,1,0,0,0,0,210,299,229,1540,96,716,486,297,251,1232,646,520,620,198,656,2343,212,81,881,872,755,320,500,680,619
ENSG00000273906,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,5,6,457,2,91,15,0,7,1,1,33,2,6,182,215,19,0,9,0,69,77,11,225,8
ENSG00000176728,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,15,59,658,14,130,36,25,11,34,92,137,57,14,89,466,18,4,95,216,223,73,47,176,124
ENSG00000067646,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,141,218,567,882,65,861,386,366,173,873,774,485,404,175,1133,1705,163,36,607,1076,512,673,808,643,541
ENSG00000198692,1,0,1,6,3,0,2,0,2,0,0,1,0,0,2,1,1,2,0,2,5,0,0,0,0,193,368,468,2087,109,1072,441,500,196,1794,1318,641,377,81,772,1965,1212,98,831,1188,1145,966,660,739,1144
ENSG00000067048,0,4,1,3,3,0,1,2,0,6,0,3,1,1,2,1,1,3,2,3,5,2,0,0,0,691,1280,652,3441,362,1795,2271,822,818,2556,1390,1880,1924,964,2180,5578,647,365,1840,2387,2505,1160,2718,1519,1968
ENSG00000260197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,42,12,160,16,42,37,15,8,41,30,41,37,8,52,282,43,0,83,79,151,20,23,31,20
