,TCGA-91-8499-01A-11R-2403-07,TCGA-50-6595-01A-12R-1858-07,TCGA-L9-A5IP-01A-21R-A39D-07,TCGA-55-8204-01A-11R-2241-07,TCGA-NJ-A4YQ-01A-11R-A262-07,TCGA-97-A4M0-01A-11R-A24X-07,TCGA-NJ-A55O-01A-11R-A262-07,TCGA-95-A4VN-01A-11R-A262-07,TCGA-78-7146-01A-11R-2039-07,TCGA-05-4430-01A-02R-1206-07,TCGA-67-3774-01A-01R-0946-07,TCGA-50-6593-01A-11R-1755-07,TCGA-MP-A5C7-01A-11R-A262-07,TCGA-38-7271-01A-11R-2039-07,TCGA-49-4487-01A-21R-1858-07,TCGA-44-6776-01A-11R-1858-07,TCGA-55-8506-01A-11R-2403-07,TCGA-67-6217-01A-11R-1755-07,TCGA-MP-A4TF-01A-11R-A262-07,TCGA-55-8510-01A-11R-2403-07,TCGA-78-7159-01A-11R-2039-07,TCGA-44-6774-01A-21R-1858-07,TCGA-83-5908-01A-21R-2287-07,TCGA-NJ-A4YF-01A-12R-A262-07,TCGA-05-4405-01A-21R-1858-07,TCGA-91-A4BD-01A-11R-A24H-07,TCGA-55-6968-01A-11R-1949-07,TCGA-MP-A4SY-01A-21R-A24X-07,TCGA-55-A48Y-01A-11R-A24H-07,TCGA-97-A4M2-01A-12R-A24X-07,TCGA-NJ-A4YP-01A-11R-A262-07,TCGA-95-7944-01A-11R-2187-07,TCGA-78-7536-01A-11R-2066-07,TCGA-05-4397-01A-01R-1206-07,TCGA-73-4676-01A-01R-1755-07,TCGA-55-6642-01A-11R-1858-07,TCGA-MP-A4TD-01A-32R-A262-07,TCGA-05-4422-01A-01R-1206-07,TCGA-44-7671-01A-11R-2066-07,TCGA-44-2656-01A-02R-A278-07,TCGA-62-8398-01A-11R-2326-07,TCGA-73-4677-01A-01R-1206-07,TCGA-MP-A4SW-01A-21R-A24X-07,TCGA-62-A46P-01A-11R-A24H-07,TCGA-78-8640-01A-11R-2403-07,TCGA-38-4632-01A-01R-1755-07,TCGA-86-8358-01A-11R-2326-07,TCGA-L9-A50W-01A-12R-A39D-07,TCGA-05-4384-01A-01R-1755-07,TCGA-50-5946-01A-11R-1755-07
ENSG00000114374,0,0,0,5,0,1,0,0,1,0,1,0,1,0,0,0,0,0,11,0,1,0,5,1,0,634,901,1181,730,1919,2142,1343,250,2755,130,699,1403,2810,1734,1862,427,2595,440,69,1034,240,186,2738,1568,182
ENSG00000131002,1,0,0,3,0,1,0,1,0,0,0,0,2,0,0,0,0,0,14,0,0,0,5,0,0,858,1134,1848,1602,3619,4878,2151,263,4314,121,739,2120,4634,895,1597,266,1224,706,116,983,418,289,2595,1206,198
ENSG00000012817,0,0,0,5,0,2,2,0,0,0,0,0,4,1,0,0,0,0,17,0,0,0,13,0,1,1028,1403,1867,1808,4686,5465,2258,724,10150,198,1316,3705,4918,2421,1637,915,3125,1729,267,1959,262,551,3941,2153,460
ENSG00000183878,0,0,0,3,0,0,1,0,0,0,0,0,1,0,0,0,0,2,3,0,0,0,0,0,0,368,683,635,496,990,1306,705,149,4683,140,622,789,1830,705,1659,256,1991,253,59,523,229,115,1280,853,95
ENSG00000273906,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,97,0,92,0,76,138,0,0,7,1,92,245,250,37,8,5,91,4,3,3,6,0,3,33,0
ENSG00000176728,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,164,76,100,162,206,244,145,9,860,13,45,158,442,79,73,16,325,27,6,123,59,6,586,34,6
ENSG00000067646,0,0,0,5,0,1,0,0,0,0,1,0,0,1,1,0,2,1,3,0,0,0,2,0,0,288,1020,334,707,794,1673,1854,144,1517,131,661,306,1365,761,1041,255,1696,184,31,84,567,107,899,640,70
ENSG00000198692,0,0,1,2,1,2,1,0,1,0,0,0,1,2,1,0,1,1,6,0,0,1,3,0,0,1156,1289,488,836,895,1962,1210,217,11121,182,370,1021,2083,1289,563,171,2309,289,85,2277,468,100,970,617,218
ENSG00000067048,0,0,0,5,0,1,3,0,2,0,1,0,0,2,3,0,0,3,13,3,0,1,10,0,0,1013,2347,2253,1696,3093,5479,3218,859,8832,548,1795,2221,3862,2246,2517,1207,4084,974,225,2103,652,628,3093,1801,594
ENSG00000260197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,105,67,48,174,131,72,11,232,10,31,58,81,35,36,13,80,35,2,46,12,6,102,43,10
