,TCGA-NJ-A4YQ-01A-11R-A262-07,TCGA-83-5908-01A-21R-2287-07,TCGA-44-3918-01A-01R-A278-07,TCGA-69-7980-01A-11R-2187-07,TCGA-MP-A4TA-01A-21R-A24X-07,TCGA-50-8457-01A-11R-2326-07,TCGA-38-4625-01A-01R-1206-07,TCGA-05-4250-01A-01R-1107-07,TCGA-44-A47A-01A-21R-A24H-07,TCGA-97-7547-01A-11R-2039-07,TCGA-86-8056-01A-11R-2241-07,TCGA-67-6217-01A-11R-1755-07,TCGA-MP-A4T9-01A-11R-A24X-07,TCGA-L9-A444-01A-21R-A24H-07,TCGA-55-8506-01A-11R-2403-07,TCGA-55-7725-01A-11R-2170-07,TCGA-05-4425-01A-01R-1755-07,TCGA-53-7813-01A-11R-2170-07,TCGA-69-8253-01A-11R-2287-07,TCGA-49-6761-01A-31R-1949-07,TCGA-L4-A4E5-01A-11R-A24X-07,TCGA-55-A492-01A-11R-A24H-07,TCGA-78-7153-01A-11R-2039-07,TCGA-78-7158-01A-11R-2039-07,TCGA-97-8172-01A-11R-2287-07,TCGA-86-8358-01A-11R-2326-07,TCGA-05-5425-01A-02R-1628-07,TCGA-78-7150-01A-21R-2039-07,TCGA-NJ-A4YG-01A-22R-A262-07,TCGA-55-6972-01A-11R-1949-07,TCGA-05-4410-01A-21R-1858-07,TCGA-05-4244-01A-01R-1107-07,TCGA-44-7660-01A-11R-2066-07,TCGA-97-7552-01A-11R-2039-07,TCGA-86-8674-01A-21R-2403-07,TCGA-73-4677-01A-01R-1206-07,TCGA-62-8398-01A-11R-2326-07,TCGA-55-8092-01A-11R-2241-07,TCGA-05-4395-01A-01R-1206-07,TCGA-55-6987-01A-11R-1949-07,TCGA-78-7152-01A-11R-2039-07,TCGA-49-AAR4-01A-12R-A41B-07,TCGA-64-5775-01A-01R-1628-07,TCGA-78-7542-01A-21R-2066-07,TCGA-78-7633-01A-11R-2066-07,TCGA-97-8179-01A-11R-2287-07,TCGA-35-5375-01A-01R-1628-07,TCGA-49-AAR2-01A-11R-A39D-07,TCGA-86-8073-01A-11R-2241-07,TCGA-86-7711-01A-11R-2066-07
ENSG00000114374,0,5,3,2,1,2,3,1,0,0,3,0,1,1,0,0,1,0,4,1,0,0,1,2,3,186,354,1003,942,1193,594,352,842,1600,1052,2595,427,751,917,1156,86,1797,468,310,3165,428,63,151,3410,303
ENSG00000131002,0,5,0,0,0,2,0,0,0,1,2,0,2,1,0,0,0,0,7,1,0,0,0,0,1,289,663,586,2820,1232,378,446,1472,1220,791,1224,266,1298,2140,1643,97,1911,786,806,1651,420,73,347,3489,299
ENSG00000012817,0,13,0,1,0,2,0,1,0,1,3,0,5,0,0,0,1,0,3,0,0,0,1,2,2,551,753,1289,2473,1382,543,949,1890,2484,1959,3125,915,3481,2732,2933,180,4057,784,1222,3647,775,105,896,3302,671
ENSG00000183878,0,0,0,0,2,1,1,0,0,0,2,2,0,0,0,0,0,0,2,0,0,0,1,3,2,115,406,394,703,527,436,238,781,1620,437,1991,256,546,1232,752,76,661,309,212,1138,236,55,116,1582,215
ENSG00000273906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,2,129,1,9,6,552,42,84,91,5,0,1,18,0,15,0,19,179,25,0,4,242,1
ENSG00000176728,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,78,63,204,155,10,29,110,86,207,325,16,19,34,33,2,244,36,18,296,43,5,14,377,13
ENSG00000067646,0,2,3,0,1,0,1,0,0,0,1,1,1,0,2,0,0,0,1,0,0,1,0,0,0,107,396,774,410,15,384,181,416,1093,506,1696,255,367,873,513,57,375,580,163,1448,157,68,50,1230,255
ENSG00000198692,1,3,0,0,0,1,1,0,0,0,3,1,0,1,1,0,0,0,0,0,0,2,1,0,2,100,605,877,715,1021,168,209,823,1168,682,2309,171,982,1794,964,92,875,587,1212,2133,217,121,207,1746,327
ENSG00000067048,0,10,0,0,0,3,2,0,0,2,8,3,1,0,0,0,6,0,7,2,0,2,1,4,1,628,799,2226,1536,877,1363,957,1895,3879,1100,4084,1207,1877,2556,2385,277,1889,2488,647,3680,1007,223,352,5714,1328
ENSG00000260197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,21,92,33,19,20,69,58,41,80,13,66,41,106,8,101,42,43,119,28,4,20,150,4
ENSG00000129824,0,88,0,0,2,4,0,1,0,9,14,8,2,1,5,0,11,0,13,4,0,6,15,9,27,827,7210,6166,1850,301,2942,2039,1312,7676,7298,34475,2190,3081,52164,6010,981,6751,14885,2188,26477,2282,1577,1326,19311,1959
ENSG00000099725,0,4,0,1,0,1,10,1,0,9,6,1,4,1,0,1,0,0,1,3,1,1,3,0,15,162,110,109,1129,12,295,275,3221,537,372,316,192,367,351,744,49,1729,99,178,298,215,30,163,1991,74
ENSG00000206159,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,2,63,86,46,195,20,2,42,48,154,244,3,6,81,10,0,78,24,5,325,10,1,3,159,3
