,TCGA-55-7726-01A-11R-2170-07,TCGA-44-A47G-01A-21R-A24H-07,TCGA-55-8621-01A-11R-2403-07,TCGA-95-A4VN-01A-11R-A262-07,TCGA-38-4631-01A-01R-1755-07,TCGA-44-3398-01A-01R-1107-07,TCGA-78-7153-01A-11R-2039-07,TCGA-44-6145-01A-11R-1755-07,TCGA-55-8208-01A-11R-2241-07,TCGA-86-7954-01A-11R-2187-07,TCGA-44-2655-01A-01R-0946-07,TCGA-73-4662-01A-01R-1206-07,TCGA-49-AARO-01A-12R-A41B-07,TCGA-38-4625-01A-01R-1206-07,TCGA-44-5644-01A-21R-2039-07,TCGA-64-1677-01A-01R-0946-07,TCGA-55-A494-01A-11R-A24X-07,TCGA-44-3396-01A-01R-1206-07,TCGA-50-6590-01A-12R-1858-07,TCGA-44-5645-01A-01R-A278-07,TCGA-78-7220-01A-11R-2039-07,TCGA-62-A46O-01A-11R-A24H-07,TCGA-44-2657-01A-01R-1107-07,TCGA-78-8655-01A-11R-2403-07,TCGA-44-7661-01A-11R-2066-07,TCGA-55-8094-01A-11R-2241-07,TCGA-44-7662-01A-11R-2066-07,TCGA-62-A472-01A-11R-A24H-07,TCGA-95-7944-01A-11R-2187-07,TCGA-05-4420-01A-01R-1206-07,TCGA-05-5420-01A-01R-1628-07,TCGA-78-7542-01A-21R-2066-07,TCGA-35-5375-01A-01R-1628-07,TCGA-55-A4DF-01A-11R-A24H-07,TCGA-86-8673-01A-11R-2403-07,TCGA-05-4424-01A-22R-1858-07,TCGA-78-7160-01A-11R-2039-07,TCGA-50-5939-01A-11R-1628-07,TCGA-05-4410-01A-21R-1858-07,TCGA-35-4122-01A-01R-1107-07,TCGA-69-7764-01A-11R-2170-07,TCGA-64-5779-01A-01R-1628-07,TCGA-05-4433-01A-22R-1858-07,TCGA-55-1596-01A-01R-0946-07,TCGA-35-4123-01A-01R-1107-07,TCGA-86-7711-01A-11R-2066-07,TCGA-64-5815-01A-01R-1628-07,TCGA-05-4426-01A-01R-1206-07,TCGA-86-8073-01A-11R-2241-07,TCGA-44-2668-01A-01R-A278-07
ENSG00000114374,0,1,3,0,1,0,1,0,1,0,2,0,0,3,0,0,0,0,0,2,0,1,0,3,1,39,403,203,1343,747,729,310,63,2029,1448,298,1300,710,594,226,1819,584,354,1156,333,303,150,298,3410,1303
ENSG00000131002,0,2,2,1,0,1,0,0,0,2,0,0,2,0,0,0,0,0,0,0,2,5,2,1,0,42,603,296,2151,2015,2198,806,73,838,1461,300,1196,422,378,1059,3831,1785,270,87,532,299,116,195,3489,648
ENSG00000012817,0,1,8,0,1,1,1,0,2,0,0,0,0,0,0,1,1,0,0,2,1,3,1,6,1,86,1484,467,2258,1331,1039,1222,105,1341,1902,468,1813,1173,543,365,4333,1922,474,176,396,671,343,484,3302,1128
ENSG00000183878,0,0,1,0,0,3,1,0,1,1,0,1,0,1,0,0,0,0,0,1,1,5,0,2,0,29,357,96,705,938,574,212,55,1779,798,311,856,500,436,342,1338,680,251,650,297,215,158,198,1582,929
ENSG00000273906,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,267,4,19,0,130,0,8,18,11,9,5,49,130,7,432,0,1,4,6,242,3
ENSG00000176728,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,4,31,14,145,271,35,18,5,30,448,10,84,47,10,83,161,51,11,6,25,13,6,14,377,90
ENSG00000067646,0,0,2,0,0,1,0,0,0,2,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,35,337,65,1854,1168,647,163,68,672,54,193,738,808,384,1170,722,446,173,759,366,255,153,175,1230,868
ENSG00000198692,0,0,3,0,1,3,1,0,0,1,0,1,0,1,0,0,0,2,0,0,0,2,0,0,1,55,473,109,1210,1179,1050,1212,121,360,1354,249,1053,660,168,1079,1176,572,196,80,500,327,189,81,1746,638
ENSG00000067048,0,1,3,0,1,0,1,1,1,3,4,0,0,2,0,2,0,0,1,2,5,8,1,5,1,120,1728,362,3218,2157,1098,647,223,4092,2163,1104,2401,2718,1363,926,2473,1945,818,1694,822,1328,548,964,5714,1827
ENSG00000260197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,23,16,72,20,9,43,4,74,54,4,42,23,19,8,73,52,8,0,15,4,11,8,150,13
ENSG00000129824,0,7,18,0,4,5,15,0,5,3,4,0,4,0,0,8,1,6,2,1,0,10,1,7,1,346,3359,896,54040,21913,7114,2188,1577,2675,941,2411,6017,7643,2942,6858,9213,2789,1745,7448,4713,1959,2269,2358,19311,3456
ENSG00000099725,0,2,0,0,1,2,3,0,0,0,2,1,1,10,2,0,1,1,0,0,1,4,0,4,3,27,376,157,1597,730,184,178,30,2243,126,118,368,182,295,89,760,699,130,236,124,74,72,112,1991,357
ENSG00000206159,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,3,0,1,256,66,5,1,52,86,3,56,3,20,127,212,52,10,216,12,3,6,12,159,2
ENSG00000164816,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0
ENSG00000165246,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,4,416,25,87,119,100,60,33,95,230,174,292,358,77,124,132,270,46,127,137,209,127,66,524,761
ENSG00000092377,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,69,4,12,0,40,0,2,7,3,4,3,31,49,6,101,0,0,0,4,87,4
ENSG00000231535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,32,33,24,5,4,28,0,12,20,17,11,49,8,5,8,24,14,5,6,7,73,38
ENSG00000215580,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,19,19,56,28,11,8,4,50,19,9,16,3,11,14,28,51,11,3,35,3,0,8,144,12
ENSG00000241859,0,0,2,0,0,0,0,0,2,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,6,1,4,54,12,3,0,129,49,7,42,13,26,11,24,14,6,57,7,2,4,5,66,37
ENSG00000131482,0,4,0,1,0,0,0,3,1,1,1,1,0,3,3,0,0,1,0,0,82,0,0,0,0,82,0,0,0,1,521,0,0,0,2,2,1,0,0,0,1,1,0,0,0,1,0,3,0,1
ENSG00000267793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,13,8,2,5,0,9,3,2,15,2,3,0,72,16,0,0,1,4,1,3,40,3
ENSG00000239893,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,17,0,24,0,0,0,0,59,4,1,18,0,0,14,0,0,1,3,0,0,3
