,TCGA-50-5931-01A-11R-1755-07,TCGA-55-8299-01A-11R-2287-07,TCGA-55-8508-01A-11R-2403-07,TCGA-44-7667-01A-31R-2066-07,TCGA-49-6744-01A-11R-1858-07,TCGA-99-8025-01A-11R-2241-07,TCGA-38-4627-01A-01R-1206-07,TCGA-44-4112-01A-01R-1107-07,TCGA-44-8117-01A-11R-2241-07,TCGA-50-6593-01A-11R-1755-07,TCGA-73-4662-01A-01R-1206-07,TCGA-49-AARN-01A-21R-A41B-07,TCGA-55-A48X-01A-11R-A24H-07,TCGA-95-7948-01A-11R-2187-07,TCGA-05-4430-01A-02R-1206-07,TCGA-67-3771-01A-01R-0946-07,TCGA-69-7980-01A-11R-2187-07,TCGA-67-3770-01A-01R-0946-07,TCGA-55-8514-01A-11R-2403-07,TCGA-69-A59K-01A-11R-A262-07,TCGA-83-5908-01A-21R-2287-07,TCGA-NJ-A4YQ-01A-11R-A262-07,TCGA-55-A48Z-01A-12R-A24X-07,TCGA-44-5644-01A-21R-2039-07,TCGA-MP-A4T4-01A-11R-A262-07,TCGA-53-A4EZ-01A-12R-A24X-07,TCGA-55-A4DG-01A-11R-A24H-07,TCGA-62-8399-01A-21R-2326-07,TCGA-44-5643-01A-01R-1628-07,TCGA-49-AAR2-01A-11R-A39D-07,TCGA-L4-A4E6-01A-11R-A24H-07,TCGA-05-4418-01A-01R-1206-07,TCGA-05-5428-01A-01R-1628-07,TCGA-44-6778-01A-11R-1858-07,TCGA-55-6642-01A-11R-1858-07,TCGA-78-7160-01A-11R-2039-07,TCGA-50-5072-01A-21R-1858-07,TCGA-64-1676-01A-01R-0946-07,TCGA-95-7562-01A-11R-2241-07,TCGA-05-4397-01A-01R-1206-07,TCGA-73-4659-01A-01R-1206-07,TCGA-78-7150-01A-21R-2039-07,TCGA-69-8453-01A-12R-2326-07,TCGA-62-A470-01A-11R-A24H-07,TCGA-78-7154-01A-11R-2039-07,TCGA-86-8358-01A-11R-2326-07,TCGA-MP-A4TI-01A-21R-A24X-07,TCGA-64-1680-01A-02R-0946-07,TCGA-35-4122-01A-01R-1107-07,TCGA-L9-A743-01A-43R-A39D-07
ENSG00000114374,1,1,1,1,1,1,0,2,2,0,0,80,1,0,0,0,2,0,0,7,5,0,0,0,0,161,2436,2074,1248,151,1560,1691,86,1106,699,1300,1273,470,947,2755,3166,1003,1152,825,1123,186,1037,112,226,987
ENSG00000131002,2,0,2,0,0,0,0,3,0,0,0,158,0,0,0,0,0,0,0,1,5,0,0,0,2,278,3331,1678,1535,347,2052,1639,177,1217,739,1196,881,1090,475,4314,3587,586,1087,2976,864,289,1392,81,1059,1038
ENSG00000012817,1,0,3,1,2,0,0,0,2,0,0,199,1,1,0,1,1,0,0,0,13,0,1,0,5,564,5010,6258,2060,896,3439,3301,120,1974,1316,1813,1899,546,905,10150,4473,1289,2177,1491,862,551,2563,125,365,2159
ENSG00000183878,1,1,4,0,0,0,0,0,0,0,1,85,0,0,0,0,0,0,1,2,0,0,0,0,0,92,1589,922,1145,116,1008,829,94,702,622,856,729,646,619,4683,1723,394,992,526,498,115,552,76,342,549
ENSG00000273906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,632,8,4,76,4,49,6,0,15,92,18,201,1,8,7,83,2,23,257,343,0,54,9,5,20
ENSG00000176728,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,10,347,198,126,14,176,68,13,46,45,84,62,92,124,860,265,63,96,147,72,6,86,5,83,36
ENSG00000067646,0,0,1,0,1,0,0,2,0,0,0,39,0,0,0,0,0,0,0,2,2,0,0,0,1,1759,822,1081,443,50,619,1446,119,547,661,738,867,774,541,1517,1633,774,557,459,556,107,376,76,1170,476
ENSG00000198692,0,0,0,0,0,0,0,0,0,0,1,91,0,0,0,0,0,2,0,1,3,1,0,0,2,116,1200,1257,1449,207,841,1887,162,866,370,1053,1515,1318,1144,11121,2181,877,1068,596,1239,100,741,81,1079,584
ENSG00000067048,1,2,1,3,2,0,0,2,1,0,0,175,0,0,0,0,0,0,4,5,10,0,1,0,2,401,3993,6317,2923,352,2740,3269,253,2789,1795,2401,2777,1390,1968,8832,4586,2226,3086,1236,1644,628,2225,208,926,2267
ENSG00000260197,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,12,204,44,34,20,148,46,1,67,31,42,54,30,20,232,64,21,61,62,23,6,109,5,8,49
