,TCGA-67-3773-01A-01R-0946-07,TCGA-91-6840-01A-11R-1949-07,TCGA-55-8506-01A-11R-2403-07,TCGA-53-7626-01A-12R-2066-07,TCGA-44-8117-01A-11R-2241-07,TCGA-49-4514-01A-21R-1858-07,TCGA-97-7941-01A-11R-2187-07,TCGA-05-4390-01A-02R-1755-07,TCGA-55-7914-01A-11R-2170-07,TCGA-73-4658-01A-01R-1755-07,TCGA-S2-AA1A-01A-12R-A39D-07,TCGA-91-6835-01A-11R-1858-07,TCGA-44-3918-01A-01R-A278-07,TCGA-55-7911-01A-11R-2170-07,TCGA-78-7220-01A-11R-2039-07,TCGA-91-6847-01A-11R-1949-07,TCGA-99-7458-01A-11R-2039-07,TCGA-38-4626-01A-01R-1206-07,TCGA-L4-A4E5-01A-11R-A24X-07,TCGA-55-8510-01A-11R-2403-07,TCGA-49-4505-01A-01R-1206-07,TCGA-99-8025-01A-11R-2241-07,TCGA-64-5781-01A-01R-1628-07,TCGA-62-A46O-01A-11R-A24H-07,TCGA-49-4487-01A-21R-1858-07,TCGA-73-4675-01A-01R-1206-07,TCGA-91-6848-01A-11R-1949-07,TCGA-62-8398-01A-11R-2326-07,TCGA-55-6983-01A-11R-1949-07,TCGA-44-6778-01A-11R-1858-07,TCGA-49-6745-01A-11R-1858-07,TCGA-97-8176-01A-11R-2403-07,TCGA-05-4249-01A-01R-1107-07,TCGA-55-8507-01A-11R-2403-07,TCGA-78-7156-01A-11R-2039-07,TCGA-NJ-A7XG-01A-12R-A39D-07,TCGA-91-6829-01A-21R-1858-07,TCGA-05-5425-01A-02R-1628-07,TCGA-55-8302-01A-11R-2326-07,TCGA-86-7711-01A-11R-2066-07,TCGA-91-7771-01A-11R-2170-07,TCGA-99-8032-01A-11R-2241-07,TCGA-05-4415-01A-22R-1858-07,TCGA-62-A46P-01A-11R-A24H-07,TCGA-44-A47B-01A-11R-A24H-07,TCGA-69-8255-01A-11R-2287-07,TCGA-64-5815-01A-01R-1628-07,TCGA-44-7671-01A-11R-2066-07,TCGA-L9-A743-01A-43R-A39D-07,TCGA-55-1594-01A-01R-0946-07
ENSG00000114374,0,1,0,0,2,0,0,1,0,0,0,3,3,0,0,3,0,0,0,0,229,1,9,1,0,1415,197,427,1946,1106,892,983,1860,1103,2515,1613,214,354,932,303,1713,2362,1553,69,1974,2007,150,1734,987,227
ENSG00000131002,0,0,0,0,0,0,3,0,0,0,0,2,0,0,2,5,1,0,0,0,344,0,18,5,0,1220,192,266,1905,1217,397,1541,2213,1086,2348,1585,169,663,245,299,2482,5914,1335,116,2032,4726,116,895,1038,281
ENSG00000012817,2,0,0,2,2,1,2,0,0,0,0,1,0,0,1,3,2,2,0,0,575,0,10,3,0,2338,452,915,3067,1974,759,1583,2993,2574,3066,1734,423,753,555,671,2294,6114,2542,267,3412,6418,343,2421,2159,588
ENSG00000183878,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,275,0,7,5,0,766,187,256,1017,702,747,431,1183,823,1104,656,129,406,437,215,1339,1809,912,59,1487,1635,158,705,549,210
ENSG00000273906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,115,4,5,172,15,15,123,227,128,21,201,0,7,59,1,62,477,2,3,226,134,4,37,20,2
ENSG00000176728,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,44,0,0,0,0,184,7,16,213,46,31,189,129,173,189,198,15,78,17,13,149,368,45,6,395,202,6,79,36,5
ENSG00000067646,0,0,2,0,0,0,2,0,0,0,0,0,3,0,1,2,0,0,0,0,313,0,10,1,1,436,144,255,1213,547,459,392,1170,748,866,520,142,396,377,255,1092,1001,1086,31,840,1805,153,761,476,141
ENSG00000198692,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,583,0,10,2,1,880,192,171,1512,866,543,573,757,622,1174,531,107,605,193,327,1056,2729,2743,85,1002,2235,189,1289,584,193
ENSG00000067048,3,0,0,1,1,0,2,0,0,1,0,2,0,0,5,2,2,0,0,3,1543,0,35,8,3,2318,852,1207,2819,2789,1576,1218,2773,1801,2397,2820,848,799,1424,1328,2944,5718,5566,225,3948,6482,548,2246,2267,691
ENSG00000260197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,1,0,0,54,10,13,85,67,13,33,47,90,139,68,14,5,23,4,86,142,62,2,106,101,11,35,49,12
ENSG00000129824,2,1,5,0,5,0,2,4,0,0,0,5,0,0,0,8,2,2,0,2,6690,1,217,10,4,11118,1243,2190,18096,4591,7978,1255,12403,8400,20750,15861,1608,7210,7254,1959,11150,25760,14854,812,13733,49351,2269,16910,8245,1390
ENSG00000099725,2,0,0,0,3,1,10,1,2,0,0,0,0,5,1,3,5,1,1,0,155,1,2,4,0,342,109,192,571,430,277,412,564,686,639,1116,98,110,472,74,654,1457,250,109,1296,1122,72,260,758,137
ENSG00000206159,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,12,1,0,0,0,92,0,3,196,6,28,137,107,1,222,79,2,63,29,3,141,60,40,0,45,239,6,108,10,3
ENSG00000164816,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,1,0,0,0,1
ENSG00000165246,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,1,0,0,0,2,208,0,8,1,0,433,94,172,1030,188,165,180,494,175,50,257,300,78,30,209,289,2304,690,20,460,212,127,164,203,78
ENSG00000092377,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,21,0,4,67,6,4,40,94,25,10,61,0,4,8,0,15,172,0,1,65,39,0,15,9,0
ENSG00000231535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,25,1,8,33,19,18,13,17,14,12,12,0,15,23,5,13,29,4,0,17,31,6,23,12,9
ENSG00000215580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,1,0,8,7,15,28,35,12,3,51,7,11,11,2,26,13,3,38,26,5,1,80,55,0,54,42,13
ENSG00000241859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,22,3,4,32,40,83,30,121,11,4,80,4,8,42,2,13,205,65,1,100,32,4,15,4,5
ENSG00000131482,1,0,0,1,0,0,5,0,0,1,2,0,5,3,82,1,0,1,0,0,0,0,0,0,0,0,0,14,0,0,0,2,0,0,0,0,1,0,2,1,1,2,0,0,0,62275,0,0,0,1
ENSG00000267793,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,10,10,1,13,12,5,10,11,1,2,2,4,21,35,14,0,21,27,1,4,15,0
ENSG00000239893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,1,27,0,1,0,1,1,3,12,1,0,0,0,0,3,0,3,4,1,0
ENSG00000081051,1,14,0,0,0,44,26,7,0,0,2,0,2,0,12,19,0,1,0,1,3,0,20,2,0,16,0,2,1,2,0,45,0,0,15,4,0,3,2,8,0,4,0,0,1,249457,0,28,1,41
ENSG00000233070,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,14,0,1,16,4,8,12,4,3,5,2,0,4,17,2,6,21,0,0,6,25,3,1,4,2
ENSG00000168757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ENSG00000204941,0,1,0,7,1,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,7585,2,1,17,0,0,0,0,0,1,0,0,0,0,1,2,0,1,0,22,0,0,0,3,0,0,7
ENSG00000122585,0,0,0,15,0,4,0,0,0,0,0,23,0,0,10,0,2,0,0,1,1,0,0,0,5,0,1,0,0,0,3,1,0,1,1,0,4,0,1,0,0,0,1,0,0,0,0,1,0,153
ENSG00000233052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000254647,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
ENSG00000229807,107,1009,3155,4966,9386,426,7941,1840,899,313,7130,7559,5533,18800,1111,179,11332,5470,23094,4027,1,2021,351,5838,1003,1,0,3,5,53,0,10,3,1698,1,0,0,1,5,2,0,25,0,3,28,35,0,3,5,89
ENSG00000244468,0,0,0,2,3,0,0,0,0,0,1,1,0,0,8,1,1,1,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,21,0,0,0,0
ENSG00000159516,0,0,2,3,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,1,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,11,0,1,0,2,0
ENSG00000105198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,722,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
ENSG00000124467,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2958,0,0,5,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,5,0,0,0,1,0,0,43
ENSG00000242221,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,2,0,69,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,3,0,1,0,0,0,0,0
ENSG00000231924,0,0,2,6,0,0,1,0,0,7,0,1,5,0,0,0,0,0,0,10,2,0,0,161,0,0,40,0,0,0,18,0,0,0,0,0,1,0,2,0,0,1,17,0,0,0,7,0,1,381
ENSG00000203786,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000170162,1,0,0,0,1,0,0,0,0,0,0,2,0,1,5,0,0,0,0,0,0,0,1,1,5,0,93,0,0,0,1,0,0,0,0,2,11,0,0,1,0,1,0,0,1,1,1,0,1,1
ENSG00000203857,0,0,0,0,234,0,1,0,1,1,1,0,1,4,0,0,0,3,8,10,1,0,0,71,0,0,0,0,1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
ENSG00000175535,1,0,0,0,0,32,0,0,0,0,13,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,8,0,0
ENSG00000243137,0,124,0,9,0,1,0,0,0,0,0,1,0,0,0,4,0,1,0,11,0,1,6,39905,2,1,129,1,1,0,0,1,0,0,0,3,0,0,2,0,0,0,8,0,1,0,16,1,0,19
ENSG00000236731,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,2,0,0,0,2,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000268864,0,17,0,5,5,0,1,1,0,0,0,0,2,2,3,0,0,4,1,3,0,0,0,0,0,1,0,0,1,2,0,1,3,0,2,3,1,1,3,0,0,2,0,0,0,2,0,0,1,0
ENSG00000145242,6,0,0,8,12,0,0,0,4,0,0,16,11,0,0,0,3,5,2,2,8,9,0,58,0,1,35,0,1,9,1,0,0,2,3,5,38,0,3,4,9,8,0,0,5,14,0,4,2,0
ENSG00000146352,0,0,1,0,0,0,0,0,0,0,0,10,0,0,0,0,0,7,0,1,1,0,0,65,1,2,20,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,3,0,3
ENSG00000178287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,63,0,0,0,0,0,0,0,0
ENSG00000236858,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ENSG00000221826,0,5,0,1,0,1,0,0,0,0,0,0,73,0,3,0,0,0,0,1,0,0,0,15135,0,1,12,0,0,0,74,1,0,0,0,0,6,0,411,0,2,0,14,0,0,0,24,0,0,53
ENSG00000257193,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,3,0,1,1,1,2,0,0,0,1,1,0,1,0,1,1,0,0,1,0,0,4,0,4,2,3,0,0,0,0,0,0
ENSG00000264706,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
